"Location","Language/Dialect","Division"
"Iceland","NULL","North Germanic"
"Denmark","NULL","North Germanic"
"Dutch Africa","NULL","West Germanic"
"North Germany","NULL","West Germanic"
"United Kingdom","NULL","West Germanic"
"Hebrew-influenced","NULL","West Germanic"
"Norway","NULL","North Germanic"
"Germany","NULL","West Germanic"
"Denmark/Netherlands/North Germany","NULL","West Germanic"
"Faroe Islands","NULL","North Germanic"
"Netherlands/Belgium etc","NULL","West Germanic"
"Sweden","NULL","North Germanic"
