"att","Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"1459","http://www.ilbaseball.com","2015 International League season","683104648","47653463"
"","http://thebaseballcube.com/leagues/1988/East.shtml","1988 Eastern League season","395753917","20265866"
"","","2002 Nippon Professional Baseball season","598092461","41231123"
"","http://www.baseball-reference.com/teams/MIL/1973.shtml","1973 Milwaukee Brewers season","675281509","13284752"
"","http://www.baseball-reference.com/teams/MIL/1974.shtml","1974 Milwaukee Brewers season","651252545","13284745"
"","http://www.baseball-reference.com/teams/MIL/1975.shtml","1975 Milwaukee Brewers season","651252587","13284681"
"","http://www.baseball-reference.com/teams/MIL/1980.shtml","1980 Milwaukee Brewers season","671060554","13284415"
"","http://www.baseball-reference.com/teams/MIL/1991.shtml","1991 Milwaukee Brewers season","676705423","13239632"
"","http://www.baseball-reference.com/teams/MIL/1994.shtml","1994 Milwaukee Brewers season","646913844","13238870"
"","http://www.baseball-reference.com/teams/MIL/1995.shtml","1995 Milwaukee Brewers season","676994456","13238860"
"","http://www.baseball-reference.com/teams/MIL/1996.shtml","1996 Milwaukee Brewers season","677022384","13051516"
"","http://www.baseball-reference.com/teams/MIL/1997.shtml","1997 Milwaukee Brewers season","677039231","13051474"
"","http://www.baseball-almanac.com/boxscore/08061999.shtml","1999 Montreal Expos season","677158430","13450695"
"","http://bis.npb.or.jp/2006/stats/","2006 Nippon Professional Baseball season","679152980","13014769"
"","http://www.baseball-reference.com/teams/PHA/1882.shtml","1882 Philadelphia Athletics season","681017210","15655709"
"","http://www.baseball-reference.com/teams/COL/1883.shtml","1883 Columbus Buckeyes season","679012314","15656333"
"","http://www.baseball-reference.com/teams/NYP/1883.shtml","1883 New York Metropolitans season","679012411","15656523"
"","http://www.baseball-reference.com/teams/PHA/1883.shtml","1883 Philadelphia Athletics season","679012478","15655801"
"","http://www.baseball-reference.com/teams/COL/1884.shtml","1884 Columbus Buckeyes season","679030847","15656381"
"","http://www.baseball-reference.com/teams/IND/1884.shtml","1884 Indianapolis Hoosiers season","679030904","15657746"
