"%","Amount","Name","Origin","Potential","SRM"
"51.2","16.50 lbs.&nbsp;","Maris Otter","Great Britain","1.038","4"
"18.6","6.00 lbs.&nbsp;","Pale Ale Malt (2 Row)","France","1.039","2"
"12.4","4.00 lbs.&nbsp;","Flaked Oats","America","1.033","2"
"6.2","2.00 lbs.&nbsp;","Crystal 80L","&nbsp;&nbsp;","1.033","80"
"3.1","1.00 lbs.&nbsp;","Chocolate Malt","America","1.029","350"
"3.1","1.00 lbs.&nbsp;","Roasted Barley","Great Britain","1.029","575"
"1.6","0.50 lbs.&nbsp;","Victory Malt","America","1.034","25"
"1.6","0.50 lbs.&nbsp;","Special B Malt","Belgian","1.030","120"
"1.6","0.50 lbs.&nbsp;","Cara-Pils Dextrine Malt","&nbsp;&nbsp;","1.033","2"
"0.8","0.25 lbs.&nbsp;","Black Patent Malt","Great Britain","1.027","525"
