"region","country","label","main ingredient","Wikipage page ID","Wikipage revision ID"
"","http://dbpedia.org/resource/India","Odiyal","","47763408","680344267"
"http://dbpedia.org/resource/Bulacan","http://dbpedia.org/resource/Philippines","Pastillas","Carabao or Cow milk","48010580","683790168"
"","","Креветочные чипсы","","47862672","681962328"
"","","Queijo coalho grelhado","","47665409","679720453"
"","","Red Eye Louie's Vodquila","","47084856","676077708"
"http://dbpedia.org/resource/Israeli_coastal_plain","http://dbpedia.org/resource/Israel","Salat avocado","http://dbpedia.org/resource/Scallion","47351364","673351679"
"","","Turmeric juice","","47332375","678251238"
"","","Vada","","",""
"","","Almond bark","","",""
"","","Alouette cheese","","11558578","645026054"
"","","Appam","","",""
"","","Artic (vodka)","","",""
"","","Baked Alaska","","",""
"","","Bird's Custard","","",""
"","","Bowland cheese","","17644269","580046693"
"","","Bread roll","","",""
"","","Breadstick","","657061","680478364"
