"trade name","active ingredients","pharmaceutical company"
"menocal","calcium (calcium carbonate); iron (ferrous fumarate); magnesium (magnesium oxide); vitamin b12; vitamin d3; zinc (zinc gluconate)","les aliments nutri-source"
"calcium; vitamin d; iron; magnesium","calcium (calcium carbonate); iron (ferrous fumarate); magnesium oxide; vitamin d","lalco laboratoire"
"prevencal + d et fer","calcium (calcium carbonate); iron (ferrous fumarate); vitamin d","lalco laboratoire; nobel pharm"
"vita gl","calcium (calcium carbonate); iron (ferrous gluconate); magnesium (magnesium carbonate)","anton hubner"
"calcium plus","calcium (calcium carbonate); iron (ferrous gluconate); magnesium (magnesium oxide); vitamin a (retinol palmitate); vitamin c; vitamin d3 (cholecalciferol)","general nutrition"
"viamon","calcium (calcium carbonate); iron (ferrous gluconate); vitamin b1 (thiamine mononitrate); vitamin b12; vitamin b2; vitamin b3 (nicotinamide); vitamin b6 (pyridoxine hydrochloride); vitamin c","ratiopharm; nadeau laboratory"
"hormodausse plus calcium and vitamin d","calcium (calcium carbonate); iron (ferrous sulfate); vitamin b1 (thiamine hydrochloride); vitamin b12; vitamin b3 (nicotinamide); vitamin d3","ratiopharm; charton laboratories"
"hormodausse plus calcium et d","calcium (calcium carbonate); iron (ferrous sulfate); vitamin b1 (thiamine hydrochloride); vitamin b12; vitamin b3 (nicotinamide); vitamin d3","ratiopharm"
"v-balance","calcium (calcium carbonate); iron (ferrous sulfate); vitamin b12 (cyanocobalamin); vitamin b2; vitamin d; zinc (zinc sulfate)","nutribalance"
"purecal tablets","calcium (calcium carbonate); lysine hydrochloride; magnesium oxide; vitamin d3; zinc (zinc sulfate monohydrate)","maneesh health care"
