"label","Wikipage page ID"
"Stanford Environmental Law Journal","47154313"
"Straight Flush (book)","45447924"
"Studentische Zeitschrift für Rechtswissenschaft Heidelberg","47062297"
"Suddi Now",""
"Terrorism and Political Violence","47254288"
"The Assam Chronicle","45605620"
"The Astronaut Wives Club (book)","47149947"
"The Brown Noser","45365813"
"The Buried Giant","45481355"
"The English Spy","47115085"
"The History of Nordic Women's Literature",""
"The Irish Emigrant","47232725"
"The Johns Hopkins Medical Journal",""
"The Journal of Trauma and Acute Care Surgery",""
"Самая прекрасная земля на свете","47481392"
"The Mahabharata Secret","47170081"
"The News Today (Bangladesh)","45483027"
"The Odd Life of Amy Letwis","45548380"
"The Polish News Bulletin","47261502"
"The Saginaw Valley Journal","47284674"
