"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://www.rimanigeria.com","Rivers State Microfinance Agency","667622437","46738625"
"http://rgakfd.ru/","Russian State Film and Photo Archive","680637031","47782785"
"http://www.ptpk.gov.my","Skills Development Fund Corporation","680856639","47803712"
"http://www.sec.gov.qa","Supreme Education Council (Qatar)","675249923","47300092"
"http://www.tacr.cz/en","Technology Agency of the Czech Republic","667518676","47012923"
"","Telangana State Electricity Regulatory Commission","",""
"http://www.glo.or.th/","Thai lottery","683714959","46931695"
"","Tirupati Urban Development Authority","680392580","47024235"
"","VGTM Urban Development Authority","",""
"http://travelwisconsin.com/","Wisconsin Department of Tourism","683321664","46336516"
"http://urban.bih.nic.in/","Bihar Urban Infrastructure Development Corporation","647225893","45399256"
"","CONADI","","47111390"
"https://www.illinois.gov/cdb","Capital Development Board (Illinois)","674307953","47403912"
"https://www.gov.uk/child-maintenance/overview","Child Maintenance Group","669602118","47075089"
"","Commission for Agricultural Costs and Prices","678296945","47562462"
"","Defense POW/MIA Accounting Agency","","45311638"
"","Department of Health & Human Services (Victoria)","","45337421"
"http://www.mdcghana.org/","Ghana Medical and Dental Council","651128428","45346682"
"https://www.elections.il.gov/","Illinois State Board of Elections","674536467","47429618"
"http://www.iot.gov.tw/mp.asp?mp=2","交通部運輸研究所","676148557","47528749"
