"Wikipage page ID","label","abstract","Wikipage revision ID"
"47402538","Nuyorican rap","","675285795"
"47916493","Neon pop","","682594832"
"","Acid house","",""
"","Acid jazz","",""
"523348","Acid rock","","681902015"
"","Acid techno","",""
"","Acid trance","",""
"","Anatolian rock","",""
"","Bandana thrash","",""
"14733709","Bassline","","683783284"
"1513915","Boi (music)","","541373913"
"","Bossa nova","",""
"2395699","Capriccio (music)","","676527329"
"1633168","Compas","","683167035"
"","Crossover jazz","",""
"","Crossover thrash","",""
"","Doom metal","",""
"","Electro-industrial","",""
