"Sterbeort","death place","label"
"http://dbpedia.org/resource/Texas_Longhorns_football","http://dbpedia.org/resource/Houston","Freddie Joe Steinmark"
"","","Michael Beaty"
"","","Abe Cohen"
"","","Al-Hajj Shabazz"
"","","Alden Darby"
"","","Ashaad Mabry"
"","","Bill Armstrong (guard)"
"","","Bill Austin (American football)"
"http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago","Bill Fortune"
"","","Blake Renaud"
"","","Buster Barnett"
"","","C. J. Goodwin"
"","","C. J. Prosise"
"","","Cameron Clear"
"","","Cameron Stingily"
"","","Chris Jones (center)"
"","","Chuck Reed (gridiron football)"
"","","Damian Copeland"
