"college","state","index","website"
"abilene christian university","tx","0.7012","http://www.acu.edu/"
"adelphi university","ny","0.922","http://www.adelphi.edu/"
"albion college","mi","0.9963","http://www.albion.edu/"
"albright college","pa","1.0546","http://www.albright.edu/"
"alfred university","ny","0.9426","http://www.alfred.edu/"
"allegheny college","pa","1.075","http://www.alleg.edu/"
"alma college","mi","0.8861","http://www.alma.edu/"
"alvernia college","pa","0.8592","http://www.alvernia.edu/"
"american university","dc","1.2283","http://www.american.edu/"
"amherst college","ma","1.2742","http://www.amherst.edu/"
"anderson university","in","0.7934","http://www.anderson.edu/"
"andrews university","mi","0.706","http://www.andrews.edu/"
"aquinas college","mi","0.7479","http://www.aquinas.edu/"
"arcadia university","pa","1.0745","http://www.arcadia.edu/"
"asbury college","ky","0.7479","http://www.asbury.edu/"
"ashland university","oh","0.8928","http://www.ashland.edu/"
"assumption college","ma","1.0381","http://www.assumption.edu/"
"augsburg college","mn","0.894","http://www.augsburg.edu/"
"augustana college","il","0.9762","http://www.augustana.edu/"
"augustana college","sd","0.7625","http://www.augustana.edu/"
"austin college","tx","0.9037","http://www.austincollege.edu/"
"azusa pacific university","ca","0.9193","http://www.apu.edu/"
"babson college","ma","1.2932","http://www.babson.edu/"
"baldwin-wallace college","oh","0.8399","http://www.bw.edu/"
"bard college","ny","1.3234","http://www.bard.edu/"
"barnard college","ny","1.3294","http://www.barnard.columbia.edu/"
"barry university","fl","0.9072","http://www.barry.edu/"
"bates college","me","1.3263","http://www.bates.edu/"
"baylor university","tx","0.9095","http://www.baylor.edu/"
"belhaven college","ms","0.6042","http://www.belhaven.edu/"
"bellarmine university","ky","0.9793","http://www.bellarmine.edu/"
"belmont university","tn","0.7877","http://www.belmont.edu/"
"beloit college","wi","1.0276","http://www.beloit.edu/"
"benedict college","sc","0.5717","http://www.benedict.edu/"
"benedictine university","il","0.7958","http://www.ben.edu/"
"bentley college","ma","1.2311","http://www.bentley.edu/"
"berklee college of music","ma","1.2392","http://www.berklee.edu/"
"berry college","ga","0.8156","http://www.berry.edu/"
"bethel university","mn","0.8998","http://www.bethel.edu/"
"bethune-cookman college","fl","0.5547","http://www.cookman.edu/"
"biola university","ca","0.9093","http://www.biola.edu/"
"birmingham-southern college","al","0.9186","http://www.bsc.edu/"
"bloomfield college","nj","0.795","http://www.bloomfield.edu/"
"boston college","ma","1.332","http://www.bc.edu/"
"boston university","ma","1.3026","http://www.bu.edu/"
"bowdoin college","me","1.3054","http://www.bowdoin.edu/"
"bradley university","il","0.8107","http://www.bradley.edu/"
"brandeis university","ma","1.2806","http://www.brandeis.edu/"
"bridgewater college","va","0.8866","http://www.bridgewater.edu/"
"brigham young university","ut","0.3032","http://www.byu.edu/"
"brown university","ri","1.2831","http://www.brown.edu/"
"bryant university","ri","1.1029","http://www.bryant.edu/"
"bryn mawr college","pa","1.2917","http://www.brynmawr.edu/"
"bucknell university","pa","1.2893","http://www.bucknell.edu/"
"buena vista university","ia","0.8549","http://www.bvu.edu/"
"butler university","in","1.0126","http://www.butler.edu/"
"cabrini college","pa","1.0992","http://www.cabrini.edu/"
"california baptist university","ca","0.8127","http://www.calbaptist.edu/"
"california institute of technology","ca","1.1982","http://www.caltech.edu/"
"california institute of the arts","ca","1.1401","http://calarts.edu/"
"california lutheran university","ca","1.0078","http://www.callutheran.edu/"
"calvin college","mi","0.8368","http://www.calvin.edu/"
"campbell university","nc","0.7305","http://www.campbell.edu/"
"canisius college","ny","1.0295","http://www.canisius.edu/"
"capital university","oh","0.9356","http://www.capital.edu/"
"carleton college","mn","1.2911","http://www.carleton.edu/"
"carnegie mellon university","pa","1.2927","http://www.cmu.edu/"
"carroll college","wi","0.7692","http://www.cc.edu/"
"carson-newman college","tn","0.6249","http://www.cn.edu/"
"carthage college","wi","0.9138","http://www.carthage.edu/"
"case western reserve","oh","1.2234","http://www.case.edu/"
"catawba college","nc","0.806","http://www.catawba.edu/"
"catholic university of america","dc","1.1285","http://www.cua.edu/"
"cedarville university","oh","0.6988","http://www.cedarville.edu/"
"central college","ia","0.8587","http://www.central.edu/"
"centre college","ky","0.9944","http://www.centre.edu/"
"chaminade university","hi","0.7138","http://www.chaminade.edu/"
"champlain college","vt","0.9558","http://www.champlain.edu/"
"chapman university","ca","1.2367","http://www.chapman.edu/"
"charleston southern university","sc","0.6949","http://www.csuniv.edu/"
"christian brothers university","tn","0.77","http://www.cbu.edu/"
"claremont mckenna college","ca","1.3167","http://www.claremontmckenna.edu/"
"clark atlanta university","ga","0.6493","http://www.cau.edu/"
"clark university","ma","1.0984","http://www.clarku.edu/"
"clarkson university","ny","1.1186","http://www.clarkson.edu/"
"coe college","ia","0.9302","http://www.coe.edu/"
"colby college","me","1.304","http://www.colby.edu/"
"colby-sawyer college","nh","1.074","http://www.colby-sawyer.edu/"
"colgate university","ny","1.3215","http://www.colgate.edu/"
"college of mount st. joseph","ny","0.7767","http://www.msj.edu/"
"college of mount st. vincent","ny","0.913","http://www.mountsaintvincent.edu/"
"college of saint rose","ny","0.832","http://www.strose.edu/"
"college of st. benedict","mn","0.9844","http://www.csbsju.edu/"
"college of st. catherine","mn","0.884","http://www.stkate.edu/"
"college of st. scholastica","mn","0.8993","http://www.css.edu/"
"college of the holy college","ma","1.2767","http://www.holycross.edu/"
"college of wooster","oh","1.1401","http://www.wooster.edu/"
"colorado christian university","co","0.7574","http://www.ccu.edu/"
"colorado college","co","1.2078","http://www.coloradocollege.edu/"
"columbia college","sc","0.7923","http://www.ccis.edu/"
"columbia university","ny","1.3371","http://www.columbia.edu/"
"columbia university","ny","1.3251","http://www.columbia.edu?"
"columbus college of art and design","oh","0.8147","http://www.ccad.edu/"
"concordia college: mo","mn","0.8138","http://www.cord.edu/"
"concordia university","il","0.7993","http://www.concordia.ca/"
"concordia university","mn","0.6982","http://www.concordia.ca/"
"concordia university","mn","0.8547","http://www.concordia.ca/"
"concordia university","wi","0.7388","http://www.concordia.ca/"
"connecticut college","ct","1.3273","http://www.conncoll.edu/"
"cornell college","ia","0.9428","http://www.cornellcollege.edu/"
"cornell university","ny","1.2953","http://www.cornell.edu/"
"cornerstone university","mi","0.6996","http://www.cornerstone.edu/"
"covenant college","ga","0.8391","www.covenant.edu/"
"creighton university","ne","0.996","http://www.creighton.edu/"
"curry college","ma","1.0379","http://www.curry.edu/"
"daemen college","ny","0.7773","http://www.daemen.edu/"
"dartmouth college","nh","1.2949","http://www.dartmouth.edu/"
"davidson college","nc","1.1543","http://www.davidson.edu/"
"delaware valley college","pa","0.9831","http://www.devalcol.edu/"
"denison university","oh","1.186","http://www.denison.edu/"
"depaul university","il","0.936","http://www.depaul.edu/"
"depauw university","in","1.0811","http://www.depauw.edu/"
"desales university","pa","0.9442","http://www.desales.edu/"
"dickinson college","pa","1.2863","http://www.dickinson.edu/"
"dillard university","la","0.5846","http://www.dillard.edu/"
"dordt college","ia","0.7192","http://www.dordt.edu/"
