"Geburtsdatum","Geburtsort","label","birth place"
"","http://dbpedia.org/resource/Mönchengladbach","Dirk Stettner","http://dbpedia.org/resource/Mönchengladbach"
"","http://dbpedia.org/resource/United_States","Disasterpeace",""
"1992-07-23","","Diwakar Vaish",""
"","http://dbpedia.org/resource/Belarus","Dmitry Sholokhov",""
"1992-03-20","http://dbpedia.org/resource/Ukraine","Dmytro Anatoliyovych Osadchyi","http://dbpedia.org/resource/Ukraine"
"","http://dbpedia.org/resource/Cherkasy","Dmytro Bilonoh","http://dbpedia.org/resource/Cherkasy"
"","http://dbpedia.org/resource/Ukraine","Dmytro Ivanisenya",""
"","http://dbpedia.org/resource/Zaporizhia","Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia"
"","","Dominique Tipper",""
"","","Don Hoffman",""
"","http://dbpedia.org/resource/Port_Antonio","Don Yute","http://dbpedia.org/resource/Port_Antonio"
"1925-04-29","","Donald A. S. Fraser",""
"","http://dbpedia.org/resource/Bisceglie","Donato Maria dell’Olio",""
"1989","","Donchristian",""
"","http://dbpedia.org/resource/Barbados","Donnya Piggott","Barbados"
