"vornamen","m/w","neben- / kurzformen","herkunft","bedeutung"
"aaron","m","aron","hebr&auml;isch","der erleuchtete"
"abel","m","abilo","hebr&auml;isch","hauch wind"
"abraham","m","-","hebr&auml;isch","vater der menge"
"absalom","m","absalon axel","hebr&auml;isch","vater des friedens"
"achilleus","m","achilles achille","griechisch","? ? ?"
"achmed","m","ahmed","arabisch","der preisw&uuml;rdige"
"adalbero","m","albero","althochdeutsch","adal=edel; bero=b&auml;r"
"adalbert","m","adalbrecht adelbert albrecht albert woitech","althochdeutsch","adal=edel; beraht=gl&auml;nzend"
"adalburg","w","adelburg alburg","althochdeutsch","adal=edel; burg=schutz"
"adam","m","-","hebr&auml;isch","mensch aus (roter) erde"
"adelheid","w","adele ada heidi alida deik lei lidda aletta talida talika","althochdeutsch","adal=edel; heit= wesen art"
"adolf","m","adolph addi dolf adi","althochdeutsch","adal=edel; wolf=wolf"
"adonija","m","adonai adonis","hebr&auml;isch","herr ist jahwe"
"adrianus","m","adrian; andrijan","lateinisch","bewohner der stadt hadria"
"adriana","w","adriane adrienne","lateinisch","bewohnerin der stadt hadria"
"afra","w","-","lateinisch","afrikanerin"
"agatha","w","agathe aget gatty agda aggy","griechisch","die gute"
"&auml;gidius","m","&auml;gid egidius till gidi","griechisch","schildtr&auml;ger schirmherr"
"aglaia","w","aglaja","griechisch","glanz sch&ouml;nheit"
"agnes","w","agnese agnita nata neisa neeske ines inga","griechisch","die reine keusche heilige"
"aischa","w","-","t&uuml;rkisch","? ? ?"
"akim","m","-","russisch","russische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","joachim"
"alan","m","allan allen alain","keltisch-englisch","? ? ?"
"albert","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","adalbert"
"alec","m","-","-","englische kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexander"
"alexander","m","alex alec alessandro lex xander alexei leszek","griechisch","ein m&auml;nner abwehrender"
"alexandra","w","alexandrina alexandrine alexa xandra alessandra alice sascha        lizzy","griechisch","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexander"
"alfons","m","alphons alonso","romanisch-althochdeutsch","adal=edel; fons=bereit"
"alfred","m","-","englisch","alf=elf naturgeist; read=rat"
"ali","m","-","arabisch","hoch erhaben"
"alice","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexandra"
"aljoscha","m","-","russisch","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexander"
"alkuin","m","alkwin","althochdeutsch","alah=elch; wini=freund"
"allegra","w","-","italienisch-amerikanisch","die frohe muntere"
"alois","m","aloisius aloys loisl luigi","althochdeutsch","sehr klug weise"
"alon","m","allon elon","hebr&auml;isch","eiche"
"althea","w","althee alth&auml;e","griechisch","die heilende"
"alva","w","-","lateinisch","die weise"
"amabella","w","amabel amabilia","lateinisch","die liebenswerte"
"amadea","w","amedea","lateinisch","ama=liebe; dea=g&ouml;ttin"
"amadeus","m","amadeo gottlieb","lateinisch","ama=liebe; deus=gott"
"amalia","w","amalie alma emmy amely amalberga","mittelhochdeutsch","hat bezug zu den amalern (ostgotisches k&ouml;nigsgeschlicht)"
"amanda","w","mandy","lateinisch","die liebenswerte"
"amos","m","-","hebr&auml;isch","der r&uuml;stige beladene"
"anastasia","w","anastasija stasia stasi nastjenka","griechisch","auferstehung"
"anaxagoras","m","-","griechisch","anax=herrscher; agora=markt"
"anaximander","m","-","griechisch","anax=herrscher; aner=mann"
"andr&eacute;","m","-","franz&ouml;sich","nebenform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","andreas"
"andrea","w","dea","griechisch","die tapfere"
"andreas","m","anderl andr&eacute; andy andrei andor","griechisch","der tapfere mannhafte"
"angela","w","angelia angelika angelina","lateinisch","botin engel"
"angelika","w","angelica ang&eacute;lique","griechisch-lateinisch","botin engel"
"angelus","m","angelo angelico angelino","lateinisch","bote gottes engel"
"anika","w","-","slawisch","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"anita","w","-","-","verkleinerungsform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"anja","w","-","russisch","nebenform von"
