"Assets","Dec 99","Dec 88","Dec 87"
"Current Assets","Current Assets","Current Assets","Current Assets"
"Cash","150.6","185.0","126.2"
"Net Receivables","678.5","--","--"
"Inventories","503.8","--","--"
"Other Current Assets","236.3","--","--"
"Total Current Assets","1569.2","1063.2","801.9"
"Net Fixed Assets","2640.9","--","--"
"Other Noncurrent Assets","598.6","--","--"
"Total Assets","4808.7","3297.9","2680.9"
"Liabilities","Dec 99","Dec 88","Dec 87"
"Current Liabilities","Current Liabilities","Current Liabilities","Current Liabilities"
"Accounts Payable","305.3","--","--"
"Short-Term Debt","521.5","--","--"
"Other Current Liabilities","761.0","--","--"
"Total Current Liabilities","1587.8","1183.5","853.4"
"Long-Term Debt","1612.8","272.1","290.4"
"Other Noncurrent Liabilities","794.9","--","--"
"Total Liabilities","3995.5","--","--"
"Shareholder's Equity","Shareholder's Equity","Shareholder's Equity","Shareholder's Equity"
"Preferred Stock Equity","--","--","--"
"Common Stock Equity","813.2","--","--"
"Total Equity","813.2","1483.2","1211.4"
"Shares Outstanding (thou.)","379424.1","491712.0","493628.0"
