"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Australia","http://dbpedia.org/resource/Australia","Alan Waddell"
"","","Alatenghua"
"http://dbpedia.org/resource/'s-Hertogenbosch","","Albert West"
"","","Alec Torelli"
"","","Aleesa Cohene"
"","","Aleksander Bosak"
"http://dbpedia.org/resource/Australian_Capital_Territory","","Aleksi Toivonen"
"","","Alex Blumberg"
"","","Alex Cormack"
"http://dbpedia.org/resource/Hungary","http://dbpedia.org/resource/Hungary","Alex Szalay"
"http://dbpedia.org/resource/Toronto","","Alex Wright (musician)"
