"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46961089","677161766","Cambrian Genomics","http://cambriangenomics.com"
"46558768","661238694","Cambridge Nanosystems","http://cambridgenanosystems.com/"
"45678474","","Cambridge School Indirapuram",""
"45711893","657598810","Campeonato Gaúcho de Futebol - Série B (Segunda Divisão)",""
"46181530","678282223","Can Stock Photo","http://www.canstockphoto.com/"
"47934959","683991303","Canada Party (2015)",""
"47744167","680042039","Canada at Mister International","http://www.ipenevents.com/"
"46633648","","Canada men's national handball team",""
"46342156","660997422","Canadian American Business Council","http://www.cabc.co/"
"46189215","659676077","Canadian Centre for Gender and Sexual Diversity",""
"46380993","","Alternativa Nacionalista Canaria",""
"","","キャナァーリ倶楽部",""
"47372370","682671030","Canvera","http://www.canvera.com"
"46978835","","Capital Float",""
"46630923","663127169","Capital Impact Partners","http://www.capitalimpact.org/"
"47906573","682441125","CarHopper","http://www.carhopper.co/"
"47319341","678691985","CarLotz","http://www.carlotz.com"
"46458738","672299656","Caracal International","http://www.caracal.ae"
"","","CarboTech AC GmbH",""
"","","Cardinal Hume Catholic School",""
