"imagesize","Wikipage page ID","Wikipage revision ID","ImageFile","IUPACName","label","ImageName"
"200","47420086","681232167","13","-13","13-Hydroxyoctadecadienoic acid",""
"200","47926263","682770706","2","2","2-Methylnaphthalene",""
"200","47292411","673255761","2","3","2-Oxohistidine",""
"200","47554706","676614157","20","","20-Dihydroprogesterone",""
"120","47269738","672119875","Structure of AEC.png","9","3-Amino-9-ethylcarbazole",""
"","47505259","676218305","3","1","3C-DFE",""
"200","47187269","672104926","4","acetic acid","4-Mercaptophenylacetic acid",""
"180","47444028","675651920","5","24","5-Formyluracil",""
"180","47292282","673141011","5","4","5-Hydroxycytosine",""
"180","47444054","675653809","5","5","5-Hydroxyhydantoin",""
"180","47292295","673140161","5","245","5-Hydroxyuracil",""
"200","47555614","677454064","5","5","5β-Dihydroprogesterone",""
"","","","","","6-Hydroxymelatonin",""
