"common name","scientific name","sc status","sc review status"
"black-bellied whistling-duck","dendrocygna autumnalis","definitive","inland only"
"fulvous whistling-duck","dendrocygna bicolor","definitive","full"
"greater white-fronted goose","anser albifrons","definitive","&nbsp;"
"snow goose","chen caerulescens","definitive","&nbsp;"
"ross's goose","chen rossii","definitive","north american birds report species"
"brant","branta bernicla","definitive","full"
"cackling goose","branta hutchinsii","definitive","full"
"canada goose","branta canadensis","definitive","&nbsp;"
"mute swan","cygnus olor","definitive","&nbsp;"
"tundra swan","cygnus columbianus","definitive","&nbsp;"
"wood duck","aix sponsa","definitive","&nbsp;"
"gadwall","anas strepera","definitive","&nbsp;"
"eurasian wigeon","anas penelope","definitive","full"
"american wigeon","anas americana","definitive","&nbsp;"
"american black duck","anas rubripes","definitive","&nbsp;"
"mallard","anas platyrhynchos","definitive","&nbsp;"
"mottled duck","anas fulvigula","definitive","inland only"
"blue-winged teal","anas discors","definitive","&nbsp;"
"cinnamon teal","anas cyanoptera","definitive","inland only"
"northern shoveler","anas clypeata","definitive","&nbsp;"
"northern pintail","anas acuta","definitive","&nbsp;"
"green-winged teal","anas crecca","definitive","&nbsp;"
"canvasback","aythya valisineria","definitive","&nbsp;"
"redhead","aythya americana","definitive","&nbsp;"
"ring-necked duck","aythya collaris","definitive","&nbsp;"
"greater scaup","aythya marila","definitive","&nbsp;"
"lesser scaup","aythya affinis","definitive","&nbsp;"
"king eider","somateria spectabilis","definitive","full"
"common eider","somateria mollissima","definitive","inland only"
"harlequin duck","histrionicus histrionicus","provisional i","full"
"surf scoter","melanitta perspicillata","definitive","&nbsp;"
"white-winged scoter","melanitta fusca","definitive","inland only"
"black scoter","melanitta americana","definitive","inland only"
"long-tailed duck","clangula hyemalis","definitive","&nbsp;"
"bufflehead","bucephala albeola","definitive","&nbsp;"
"common goldeneye","bucephala clangula","definitive","&nbsp;"
"hooded merganser","lophodytes cucullatus","definitive","&nbsp;"
"common merganser","mergus merganser","definitive","full"
"red-breasted merganser","mergus serrator","definitive","&nbsp;"
"ruddy duck","oxyura jamaicensis","definitive","&nbsp;"
"northern bobwhite","colinus virginianus","definitive","&nbsp;"
"ruffed grouse","bonasa umbellus","definitive","&nbsp;"
"wild turkey","meleagris gallopavo","definitive","&nbsp;"
"red-throated loon","gavia stellata","definitive","&nbsp;"
"pacific loon","gavia pacifica","definitive","full"
"common loon","gavia immer","definitive","&nbsp;"
