"Region","Currency","Price","Price in ?"
"Australia SA+WA","AUD","24.95","15.91"
"Israel","ILS","79","15.03"
"Australia","AUD","19.99","12.75"
"Kuwait","KWD","4.50","11.08"
"Canada","CAD","14.99","10.02"
"Finland","EUR","9.95","9.95"
"Czech","CZK","249","9.55"
"Turkey","TRY","19.95","9.48"
"Romania","RON","39","9.34"
"Hungary","HUF","2490","9.19"
"Hong Kong","HKD","99.9","9.09"
"Singapore","SGD","17.90","9.02"
"Malaysia","MYR","39.90","8.31"
"Russia","RUR","349","8.27"
"Japan","JPY","999","7.87"
"Poland","PLN","29.99","7.34"
"China","CNY","69.00","7.15"
"Switzerland","CHF","9.95","6.76"
"Ireland","EUR","4.90","4.90"
"United Kingdom","GBP","4.99","5.69"
"United States","USD","7.99","5.65"
"Denmark","DKK","39","5.24"
"Portugal","EUR","5.03","5.03"
"AustriaBelgiumGreeceGermanyItalyNetherlandsSlovakiaSpain","EUR","4.99","4.99"
"France","EUR","4.95","4.95"
"Ikealand","SEK","49","4.77"
"Norway","NOK","39","4.73 cheapest!"
