"Company","Symbol","Daily      - P Trend","Weekly      - P Trend","%      Assets"
"SMH","SMH","Bullish","Bullish","100%"
"ANALOG DEVICES","ADI","Bullish","Bullish","6.06"
"APPLIED MATERIALS","AMAT","Neutral","Neutral","12.42"
"INTEL CP","INTC","Bullish","Bullish","15.85"
"KL A-TENCOR CP","KLAC","Bullish","Bullish","3.83"
"LINEAR TECHNOLOGY","LLTC","Bullish","Bullish","4.73"
"MAXIM INTEGRATED","MXIM","Bullish","Bullish","4.68"
"MICRON      TECHNOLOGY","MU","Bullish","Bullish","4.07"
"NATL SEMICONDUCTOR","NSM","Bullish","Bullish","4.79"
"TEXAS INSTRUMENTS","TXN","Bullish","Bullish","20.32"
"XILINX      INC","XLNX","Bullish","Bullish","3.67"
