"label","Geburtsort","birth place"
"Alan Aguerre","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires"
"Aliko Bala","http://dbpedia.org/resource/Jos","http://dbpedia.org/resource/Jos"
"Bárður Hansen","http://dbpedia.org/resource/Tórshavn","http://dbpedia.org/resource/Tórshavn"
"Cristian Bocșan","http://dbpedia.org/resource/Romania","http://dbpedia.org/resource/Romania"
"Diego Matías Rodríguez","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires"
"Dmytro Anatoliyovych Osadchyi","http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine"
"Dmytro Bilonoh","http://dbpedia.org/resource/Cherkasy","http://dbpedia.org/resource/Cherkasy"
"Dmytro Ivanisenya","http://dbpedia.org/resource/Ukraine",""
"Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia","http://dbpedia.org/resource/Zaporizhia"
"Dávid Ivan","http://dbpedia.org/resource/Bratislava","http://dbpedia.org/resource/Bratislava"
