"label","Geburtsort"
"Ayaka Fukuhara","http://dbpedia.org/resource/Kagoshima_Prefecture"
"Himika Akaneya","http://dbpedia.org/resource/Akita_Prefecture"
"كيونو ياسونو","http://dbpedia.org/resource/Miyagi_Prefecture"
"嶋俊介",""
"磯村知美","http://dbpedia.org/resource/Kanagawa_Prefecture"
"花守ゆみり","http://dbpedia.org/resource/Kanagawa_Prefecture"
"藤本譲","http://dbpedia.org/resource/Tokyo"
"芹澤優","http://dbpedia.org/resource/Tokyo_Prefecture"
"木村珠莉","http://dbpedia.org/resource/Fukuoka_Prefecture"
"田澤茉純","http://dbpedia.org/resource/Kanagawa_Prefecture"
"井澤美香子",""
"田中真奈美","http://dbpedia.org/resource/Hiroshima_Prefecture"
"Yoshitaka Yamaya","http://dbpedia.org/resource/Miyagi_Prefecture"
"يويتشيرو أوميهارا","http://dbpedia.org/resource/Shizuoka_Prefecture"
"Yūka Aisaka","http://dbpedia.org/resource/Chiba_Prefecture"
"田中あいみ",""
"古木のぞみ","http://dbpedia.org/resource/Nagasaki_Prefecture"
"Yuuma Uchida","http://dbpedia.org/resource/Tokyo"
"小林愛",""
"Akiko Kobayashi (voice actor)",""
