"birth place","label","Geburtsort","Geburtsdatum"
"http://dbpedia.org/resource/United_States","Jessica Mae","http://dbpedia.org/resource/United_States","1986-10-04"
"","Jessica McKellar","",""
"","Jessica Shirvington","","1979-04-15"
"http://dbpedia.org/resource/Guangdong","Jessica Xue","http://dbpedia.org/resource/Guangdong",""
"","Jessie Gregory","http://dbpedia.org/resource/Ontario",""
"http://dbpedia.org/resource/United_States","Jessimae Peluso","http://dbpedia.org/resource/United_States",""
"Badajoz","Jesús Antúnez","http://dbpedia.org/resource/Badajoz",""
"http://dbpedia.org/resource/Minneapolis","Jim Hughart","http://dbpedia.org/resource/Minneapolis",""
"","Jimena Fama","",""
"http://dbpedia.org/resource/Scotland","Jimmy Gunn (golfer)","",""
"","Jimmy Hicks","",""
"http://dbpedia.org/resource/Lahore","Jimmy Khan","http://dbpedia.org/resource/Lahore",""
