"{|year|}","{|hic|}","{|establishment|}","{|location|}","{|project|}","{|survey type|}"
"{|1815|}","{|capt.      w.f.w. owen &amp; lieut. vidal|}","{|&nbsp;|}","{|georgian bay                   south            coast|}","{|reconnaissance|}","{|inland|}"
"{|1883|}","{|cdr. j.g. boulton|}","{|ann long|}","{|georgian bay|}","{|hydrographic|}","{|shoals rocks|}"
"{|1884|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay       entr west coast|}","{|hydrographic|}","{|coastal|}"
"{|1885|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay      to       north channel|}","{|hydrographic|}","{|coastal|}"
"{|1885|}","{|w.j. stewart|}","{|shore party|}","{|georgian bay             north channel|}","{|hydrographic|}","{|coastal|}"
"{|1886|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|geog            bay             killarney byng inlet|}","{|hydrographic|}","{|coastal|}"
"{|1887|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|geog            bay            n. channel clapperton isl to meldram pt|}","{|hydrographic|}","{|coastal|}"
"{|1888|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay       west coast|}","{|hydrographic|}","{|coastal|}"
"{|1889|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay      to sault ste marie|}","{|hydrographic|}","{|channel|}"
"{|1890|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay                   north-east            coast|}","{|hydrographic|}","{|coastal|}"
"{|1891|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay       parry sound|}","{|hydrographic|}","{|various|}"
"{|1892|}","{|cdr. j.g. boulton|}","{|bayfield i|}","{|georgian bay                   south            coast|}","{|hydrographic|}","{|coastal|}"
"{|1893|}","{|w.j. stewart|}","{|bayfield i|}","{|georgian bay                   south            coast|}","{|hydrographic|}","{|coastal|}"
"{|1894|}","{|w.j. stewart|}","{|bayfield i|}","{|georgian bay                   nottawasaga            bay|}","{|hydrographic|}","{|coastal|}"
"{|1901|}","{|w.j. stewart|}","{|&nbsp;|}","{|lake winnipeg|}","{|hydrographic|}","{|inland|}"
"{|1902|}","{|&nbsp;|}","{|&nbsp;|}","{|lake winnipeg|}","{|hydrographic|}","{|inland|}"
"{|1903|}","{|&nbsp;|}","{|&nbsp;|}","{|lake winnipeg|}","{|hydrographic|}","{|inland|}"
"{|1904|}","{|&nbsp;|}","{|&nbsp;|}","{|lake winnipeg|}","{|hydrographic|}","{|inland|}"
"{|1905|}","{|capt. f. anderson|}","{|shore party|}","{|lake winnipeg|}","{|hydrographic|}","{|inland|}"
"{|1907|}","{|&nbsp;|}","{|&nbsp;|}","{|key harb.       georgian bay|}","{|hydrographic|}","{|harbour|}"
"{|1908|}","{|capt. f. anderson|}","{|bayfield ii|}","{|lake superior                   nipigon            bay|}","{|hydrographic|}","{|inland|}"
"1909","capt.      f. anderson","bayfield      ii","lake      ontario presqu'ile and point peter","hydrographic","inland      and harbour"
"1910","capt.      f. anderson","bayfield      ii","lake      ontario presqu'ile to main duck island","hydrographic","inland"
"{|1912|}","{|&nbsp;|}","{|&nbsp;|}","{|little current       georgian bay|}","{|hydrographic|}","{|harbour|}"
"{|1912|}","{|charles savary|}","{|la canadienne|}","{|lake superior|}","{|hydrographic|}","{|inland|}"
"{|1913|}","{|h.d. parizeau|}","{|la canadienne|}","{|lake superior|}","{|hydrographic|}","{|inland|}"
"{|1914|}","{|&nbsp;|}","{|&nbsp;|}","{|byng inlet       georgian bay|}","{|hydrographic|}","{|harbour|}"
"{|1914|}","{|h.d. parizeau|}","{|la canadienne|}","{|lake superior|}","{|hydrographic|}","{|inland|}"
"{|1915|}","{|h.d. parizeau|}","{|la canadienne|}","{|lake superior|}","{|hydrographic|}","{|inland|}"
