"Draw","Country","Language","Artist","Song","English translation","Place","Points"
"01","&nbsp;Finland","English","Carita Holmstr?m","Keep Me Warm","?","13","4"
"02","&nbsp;United Kingdom","English","Olivia Newton-John","Long Live Love","?","4","14"
"03","&nbsp;Spain","Spanish","Peret","Canta y s? feliz","Sing and be happy","9","10"
"04","&nbsp;Norway","English","Anne-Karine Str?mfeat. Bendik Singers","The First Day of Love","?","14","3"
"05","&nbsp;Greece","Greek","Marinella","Krasi Thalasa Ke T' Agori Mu(????? ??????? ??? ?' ????? ???)","Wine sea and my boyfriend","11","7"
"06","&nbsp;Israel","Hebrew","Kaveret","Natati La Khayay(???? ?? ???)","I Gave her my life","7","11"
"07","&nbsp;Yugoslavia","Serbo-Croatian","Korni Grupa","Moja generacija(???? ?????a????)","My generation","12","6"
"08","&nbsp;Sweden","English","ABBA","Waterloo","?","1","24"
"09","&nbsp;Luxembourg","{English|French}","Ireen Sheer","Bye Bye I Love You","?","4","14"
"10","&nbsp;Monaco","French","Romuald","Celui qui reste et celui qui s'en va","The one who stays andthe one who goes","4","14"
"11","&nbsp;Belgium","French","Jacques Hustin","Fleur de libert?","Flower of freedom","9","10"
"12","&nbsp;Netherlands","English","Mouth and MacNeal","I See A Star","?","3","15"
"13","&nbsp;Ireland","English","Tina Reynolds","Cross Your Heart","?","7","11"
"14","&nbsp;Germany","German","Cindy &amp; Bert","Die Sommermelodie","The melody of summer","14","3"
"15","&nbsp;Switzerland","German","Piera Martell","Mein Ruf nach dir","My call to you","14","3"
"16","&nbsp;Portugal","Portuguese","Paulo de Carvalho","E depois do adeus","And after the goodbye","14","3"
"17","&nbsp;Italy","Italian","Gigliola Cinquetti","S?","Yes","2","18"
