"species","location","altitude","type","temp","notes","wish"
"nepenthes adnata(tamin &amp; hotta ex schlauer)","sumatra","600-1100m","l","","","w"
"{nepenthes alata|it is not uncommon for the hybrid n. x ventrata (seehttp://www.carniflora.nl/english/nepenthes/n_alata_plant.htm) to besold as n. alata}","malaysia; philippines; sumatra","800-2400m","lih","","easy and hardy",""
"nepenthesalbomarginata (lobb ex lindl.)","malaysia; sumatra; borneo","0-1200m","li","","small scrambler","*"
"nepenthes ampullaria(jack)            (incl. 'cantleys red')","malaysia; new guinea; borneo; sumatra;muluccas","0-1000m","l+","","easy in lowland conditions","*            w"
"nepenthes angasanensis (r.maulderd.schubert b.salmon &amp; b.quinn) spec. nov.","puncak angasan aceh province sumatra;indonesia","","","","",""
"nepenthes anamensis(macf.)","southeast asia (thailand; annam; southindochina)","","i","","all red pitchers humid andbright light",""
"nepenthes argentii(jebb &amp; cheek)","sibuyan island (philippines)","1400m","h","","easy slow minature speciesgrows in moss",""
"nepenthesaristolochioides (jebb &amp; cheek)","sumatra","2000-2500m","h","","easy fast growing weirdpitchers","w"
"nepenthes bellii(kondo)","philippines","250-800m","l+","","mod-diff mod tiny",""
"nepenthes benstonei (c.clarke)","malaya","","","","",""
"nepenthes bicalcarata(hook.f.)","borneo","0-950m","l+","","easy in hot humid conditionsprone to transplant shock large fanged pitchers","*"
"{nepenthes bongso|the icps database states that n. bongso and n.carunculata are synonyms others disagree.}","sumatra","1000-2700m","h","","easy-moderate",""
"var.robusta (nerz et wistuba) var. nov.published as n. carunculata var.robusta","","","","","",""
"nepenthes boschiana(korth.)","borneo","900-1800m","h","","moderate",""
"nepenthes burbidgeae(hook.f. ex burb.)","mt. kinabalu borneo","1200-2550m","h","","easy slow no pitchering ifnights below 16c","w"
"nepenthes burkei (hort.veitch ex mast.)","philippines","","","","",""
"nepenthes campanulata(kurata)","borneo","300m","l+","","easy-mod small",""
"nepenthes carunculata(danser) see n. bongso","","1000-2700m","h","","easy small",""
"var.robusta (nerz et wistuba) var. nov. seen. bongso var. robusta","","","h","","","w"
"nepenthes clipeata(danser)","nearly extinct on 1 cliff side on mt. kelanin borneo","600-800m","ih","","","w"
"nepenthes copelandii(merr. ex macf.)","mt. apo mindanao philippines","700-1200m","ih","","easy",""
"nepenthes danseri(jebb &amp; cheek)","moluccas indonesia","0-300m","l+","","easy as lowland",""
"nepenthes deaniana(macf.)","philippines","1300-1500m","li","","easy but does not like rootsdisturbed",""
"nepenthes densiflora(danser)","sumatra","1700-3000m","h","","easy","w"
"nepenthes diatas(jebb &amp; cheek)","sumatra","2400-2600m","h","","easy slow","w"
"nepenthesdistillatoria (l.)","ceylon/sri lanka","0-700m","l+","","moderate",""
"nepenthes dubia(danser) ?[n. bongso*inermis]?","sumatra","1800-2700m","h","","easy mod.-fast",""
"nepenthes echinostoma see n. mirabilis var.echinostoma","","","","","",""
