"Name","Country","Sales (US$mil)","Net Income (US$mil)","Market Value (US$mil)","Industry"
"HDFC Bank","India","857","152","4801","Banking"
"Satyam Computer Services","India","806","163","4228","Data processing"
"Asian Paints","India","560","40","1139","Chemicals"
"Cipla","India","499","94","2558","Drugs"
"Great Eastern Shipping","India","483","193","890","Maritime"
"Ballarpur Industries","India","447","29","444","Forest products"
"Bharat Forge","India","439","45","1591","Metal fabricating"
"Dabur India","India","311","36","1065","Personal care products"
"Kesoram Industries","India","299","15","166","Building materials"
"Nicholas Piramal India","India","299","38","1356","Drugs"
"Zee Telefilms","India","299","72","1684","Broadcasting"
"Thermax","India","285","16","435","Industrial equipment"
"Sun Pharmaceuticals Industries","India","262","91","2734","Drugs"
"Balrampur Chini Mills","India","186","29","461","Food processing"
"Nagarjuna Construction","India","172","7","414","Construction"
"Essel Propack","India","154","19","266","Packaging"
"IPCA Laboratories","India","154","17","261","Drugs"
"JB Chemicals & Pharmaceuticals","India","82","13","165","Chemicals"
"Hinduja TMT","India","73","53","382","Software"
"Indian Hume Pipe","India","41","2","35","Oil refining"
