"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"666456159","http://www.andrews-sykes.com","Andrews Sykes Group","46568930"
"682836635","http://www.angelinus.com/default.asp","Angel-in-us","46424152"
"","","Angel Broking","46507892"
"667691506","http://www.animaccord.ru/","Animaccord Animation Studio","46994482"
"","","Anita Shapolsky Gallery",""
"676349549","http://www.antfood.com/","Antfood","46989422"
"669310599","","Apadmi","46580683"
"678225456","https://www.appboy.com","Appboy","47646612"
"673329564","","ApprenNet","46750828"
"674482660","http://www.appsflyer.com","AppsFlyer","46672899"
"677176571","http://appthority.com","Appthority","46244062"
"676992124","http://www.argonon.com/","Argonon","46890682"
"680275479","http://adccustom.com","Armi Dallera Custom","45638936"
"678571859","","Artiscope Gallery","47383779"
"683852392","http://www.madassemblage.com/","Assemblage Entertainment","47935744"
"679798516","","Asteelflash Group","47391546"
"654652530","https://www.youtube.com/channel/UC1wFWySx1hAC6VFpxkvM2hQ/","Ath Entertainment","46289418"
"683478891","http://atlanticcoastmediagroup.com","Atlantic Coast Brands","46585974"
"665762643","http://en.brz.gv.at","Österreichisches Bundesrechenzentrum","46614182"
"","","AutoAnything","46176341"
