"Geburtsort","Geburtsdatum","birth place","label"
"","","","Bianca Chatfield"
"","","","Lesley Rumball"
"","","","Anna Galvan"
"","","","Caitlin Bassett"
"","","","Alex Clarke (netball)"
"","","","Tracey Pemberton"
"","1994-05-17","","Kaylia Stanton"
"","","","Lisa Alexander (netball)"
"","","","Maria Tutaia"
"","","","Jodi Tod"
"","","","Te Paea Selby-Rickit"
"","","","Ingrid Dick"
"","","","Sonia Mkoloma"
"","","","Amber Bellringer"
"","","","Natalie Medhurst"
"","1978-05-31","","Selina Hornibrook"
"","","","Tiffany Lincoln"
"","","","Sheryl Scanlan"
