"species","no of days","max no","sites  recorded"
"little  tinamou","2","h","rc  vc"
"least  grebe","1","1","is"
"pied-billed  grebe","1","2","sl"
"brown  pelican","3","50+","gplfis"
"neotropical  cormorant","6","100+","various"
"magnificent  frigatebird","2","30+","lfis"
"great  blue heron","4","5","various"
"cocoi  heron","1","4","is"
"great  egret","10","500+","variousis"
"snowy  egret","8","50+","various"
"little  blue heron","1","5","is"
"reddish  egret","1","1","lf"
"tricoloured  heron","2","5+","lfis"
"striated  heron","3","2","ccgpis"
"western  cattle egret","12","100+","various"
"capped  heron","1","1","vc"
"black-crowned  night-heron","1","2","sl"
"yellow-crowned  night-heron","1","1","is"
"bare-faced  ibis","6","10+","various"
"white  ibis","1","3","lf"
"species","no of days","max no","sites  recorded"
"wood  stork","1","4","lf"
"roseate  spoonbill","1","4","lk"
"american  flamingo","1","2","lf"
"black-bellied  whistling-duck","4","15+","cvlfis"
"andean  teal","1","2","sl"
"white-cheeked  pintail","1","20+","is"
"blue-winged  teal","2","50+","slis"
"torrent  duck","1","4","oq"
"andean  duck","1","1","sl"
"ruddy  duck","1","1","sl"
"turkey  vulture","12","50+","various"
"lesser  yellow-headed vulture","1","1+","vc"
"black  vulture","17","100+","various"
"king  vulture","1","1","sm"
"osprey","1","7","is"
"american  swallow-tailed kite","1","5","gr"
"black-chested  buzzard-eagle","1","1","ch"
"grey  hawk","2","3","covc"
"roadside  hawk","10","3","various"
"short-tailed  hawk","1","1","vc"
"species","no of days","max no","sites  recorded"
"broad-winged  hawk","4","2","ppccrbsm"
"white-tailed  hawk","1","1","jd"
"northern  caracara","7","10+","various"
"yellow-headed  caracara","12","6+","various"
"laughing  falcon","1","h","sm"
"american  kestrel","7","2","various"
"rufous-vented chachalaca","1","h","lf"
"colombian chachalaca","3","h","ccaavc"
"band-tailed guan","3","4+","sm"
"cauca guan","1","8","oq"
"wattled guan","1","1","lf"
"sickle-winged guan","2","2+","grrb"
"black-fronted wood-quail","1","4","sm"
"grey-necked wood-rail","1","h","rc"
"bogota rail","1","3+","sl"
"spot-flanked gallinule","1","2","sl"
"common gallinule","2","1","slpp"
"american coot","1","6","sl"
"wattled jacana","3","6","covclfis"
"black-necked stilt","3","30+","gplfis"
"species","no of days","max no","sites recorded"
"southern lapwing","10","6+","various"
"grey plover","2","2","lfis"
"semipalmated plover","2","6","lfis"
"kildeer","1","1","gp"
"collared plover","1","10+","lf"
"solitary sandpiper","1","1","is"
"lesser yellowlegs","2","5+","lfis"
"greater yellowlegs","3","5+","cvlfis"
"spotted sandpiper","3","1","cvis"
"willet","2","20","lfis"
"least sandpiper","2","10+","lfis"
"sanderling","1","10+","lf"
"hudsonian whimbrel","2","10+","lfis"
"ruddy turnstone","1","1","lf"
"arctic skua","1","2","lf"
"laughing gull","2","100+","lfis"
"large-billed tern","1","1","is"
"gull-billed tern","2","10","lfis"
"caspian tern","1","500+","is"
"royal tern","2","20+","lfis"
"species","no of days","max no","sites recorded"
"cabot's tern","1","50+","lf"
"least tern","1","1","is"
"black skimmer","1","2+","lf"
"feral pigeon","8","10+","various"
"band-tailed pigeon","8","10+","various"
"bare-eyed pigeon","2","10+","lfis"
"pale-vented pigeon","1","h","co"
"eared dove","7","10+","various"
"common ground-dove","1","2+","lf"
"ruddy ground-dove","5","5+","cvepcovc"
"scaled dove","2","10+","gplf"
"tolima dove","1","h","cc"
"white-tipped dove","2","5+","gplf"
"scarlet-fronted parakeet","1","7","vc"
"brown-throated parakeet","2","10+","lfis"
"golden-plumed parakeet","1","13","aa"
"yellow-eared parrot","1","3","jd"
"spectacled parrotlet","3","5","cvep"
"orange-chinned parakeet","2","5","rcsm"
"rusty-faced parrot","2","15","rbsm"
"species","no of days","max no","sites recorded"
"blue-headed parrot","4","5","grjdvc"
"white-crowned(speckle-faced)  parrot","2","2","oqrb"
"yellow-crowned parrot","1","6+","vc"
"scaly-naped parrot","1","5","sm"
"squirrel cuckoo","4","2","ppoqaajd"
"smooth-billed ani","11","6","various"
"groove-billed ani","3","10+","vcgp"
"white-throated screech-owl","1","h","oq"
"santa marta screech-owl","1","h","sm"
"andean pygmy-owl","1","1+","ch"
"ferruginous pygmy-owl","2","1+","gplf"
"mottled owl","1","1","gr"
"rufous-banded owl","1","h","oq"
"oilbird","1","6+","co"
"common potoo","1","2","aa"
"lesser nighthawk","1","1","cv"
"white-collared swift","6","100+","various"
"chestnut-collared swift","1","2+","aa"
"grey-rumped swift","1","2+","gr"
"lesser swallow-tailed swift","1","1","co"
"species","no of days","max no","sites recorded"
"short-tailed swift","1","5+","vc"
"white-tipped swift","1","3+","cc"
"green hermit","2","1","grje"
"tawny-bellied hermit","1","1","gr"
"stripe-throated hermit","2","2+","vc"
"green-fronted lancebill","1","1","gr"
"lazuline sabrewing","1","1","sm"
"white-necked jacobin","2","1","jesm"
"brown violetear","1","1","sm"
"green violetear","7","30+","various"
"sparkling violetear","5","10+","chrpjesm"
"black-throated mango","4","20+","graajdje"
"ruby-topaz hummingbird","1","2","lf"
"red-billed emerald","2","10","gplf"
"blue-tailed emerald","3","2+","ppccaa"
"coppery emerald","1","1","sm"
"violet-crowned woodnymph","5","30+","vcjesm"
"green-crowned woodnymph","1","2","gr"
"saphire-throated  hummingbird","1","1","is"
"buffy hummingbird","1","6","lf"
"species","no of days","max no","sites recorded"
"indigo-capped hummingbird","1","50+","je"
"andean emerald","2","2","ccrp"
"rufous-tailed hummingbird","5","5+","rpaaepvcje"
"steely-vented hummingbird","4","3+","rpaasmlf"
"blossomcrown","2","1","ccsm"
"white-vented plumeleteer","2","5+","ppje"
"speckled hummingbird","2","1","grrp"
"fawn-breasted brilliant","2","1","rprb"
"empress brilliant","2","2","gr"
"white-tailed hillstar","1","2+","gr"
"great saphirewing","1","1","ch"
"bronzy inca","3","2+","grrpjd"
