"bird","location","date","photo"
"purple sandpiper","eastern point breakwater ma","12/28/04","view"
"great cormorant","hammond's castle ma","12/28/04","NULL"
"iceland gull","jodrey pier ma","12/28/04","view"
"cackling goose","santa fe dam recreation area ca","12/19/04","view"
"rose-throated becard","williams landscaping tx","12/13/04","view"
"american woodcock","hugh brown wildlife management area tx","12/12/04","NULL"
"harris's sparrow","austin tx","12/12/04","NULL"
"green parakeet","hastings bookstore tx","12/11/04","NULL"
"red-crowned parrot","williams landscaping tx","12/10/04","NULL"
"crimson-collared grosbeak","frontera audubon nature preserve tx","12/10/04","NULL"
"green-breasted mango","rose ellen blvd (private residence) tx","12/10/04","view"
"little gull","lake perris state park ca","12/01/04","NULL"
"ring-necked pheasant","valentine national wildlife refuge ne","11/26/04","NULL"
"greater prairie-chicken","valentine national wildlife refuge ne","11/26/04","NULL"
"xantus' murrelet","ventura pelagic ca","11/20/04","NULL"
"cassin's auklet","long beach pelagic ca","11/12/04","NULL"
"western screech-owl","topanga state park ca","11/11/04","NULL"
"brown-headed nuthatch","latta nc","10/17/04","NULL"
"black-capped petrel","hatteras pelagic nc","10/16/04","NULL"
"audubon's shearwater","hatteras pelagic nc","10/16/04","NULL"
"cory's shearwater","hatteras pelagic nc","10/16/04","view"
"cassin's vireo","galileo ca","10/10/04","NULL"
"chestnut-sided warbler","kennesaw mountain ca","10/06/04","NULL"
"spectacled eider","barrow ak","10/03/04","NULL"
"ross's gull","barrow ak","10/03/04","NULL"
"barrow's goldeneye","skilak lake road ak","10/01/04","NULL"
"spruce grouse","skilak lake road ak","09/30/04","view"
"white-winged crossbill","kasiloff beach road ak","09/30/04","view"
"trumpeter swan","tern lake ak","09/30/04","view"
"marbled murrelet","kenai fjords national park ak","09/29/04","NULL"
"red-faced cormorant","kenai fjords national park ak","09/29/04","NULL"
"saltmarsh short-tailed sparrow","two mile landing nj","09/20/04","view"
"red knot","stone harbor point nj","09/20/04","NULL"
"virginia rail","cape may point state park nj","09/20/04","NULL"
"common tern","cape may point state park nj","09/19/04","NULL"
"mute swan","cape may point state park nj","09/19/04","view"
"spotted dove","banning park ca","09/18/04","view"
"ashy storm-petrel","monterey pelagic ca","09/13/04","NULL"
"flesh-footed shearwater","monterey pelagic ca","09/13/04","NULL"
"yellow-footed gull","salton sea ca","09/02/04","view"
"boreal chickadee","bigelow preserve me","08/28/04","NULL"
"american black duck","acadia national park me","08/27/04","NULL"
"great black-backed gull","jonesport pelagic me","08/26/04","view"
"razorbill","jonesport pelagic me","08/26/04","NULL"
"greater shearwater","jonesport pelagic me","08/26/04","NULL"
"atlantic puffin","jonesport pelagic me","08/26/04","view"
"wilson's storm-petrel","jonesport pelagic me","08/26/04","NULL"
"red-naped sapsucker","rocky mountain national park co","08/13/04","NULL"
"lark bunting","pawnee national grasslands co","08/12/04","view"
"mccown's longspur","pawnee national grasslands co","08/12/04","view"
"chestnut-collared longspur","pawnee national grasslands co","08/12/04","view"
"white-tailed ptarmigan","mount rainier national park wa","08/08/04","view"
