"NULL","username","points","join date"
"NULL","playraidi","0","september 26 2010"
"NULL","plealpplaix","0","may 18 2011"
"NULL","plealpref","0","january 3 2012"
"NULL","plearkamactap","0","november 17 2011"
"NULL","pledlytwede","0","october 13 2011"
"NULL","plemsvale","0","january 20 2012"
"NULL","pletchercgi","0","november 12 2011"
"NULL","pletcheroqm","0","october 4 2011"
"NULL","pletcherrxz","0","may 5 2011"
"NULL","pletchertlw","0","august 15 2011"
"NULL","pletchertow","0","august 22 2011"
"NULL","plolvivasyday","0","september 1 2011"
"NULL","plsofia","0","october 27 2011"
"NULL","plupertiore","0","january 13 2011"
"NULL","plupleannef","0","june 9 2011"
"NULL","plusfxrbm","0","june 30 2011"
"NULL","plusfxsyk","0","july 9 2011"
"NULL","pluttuntota","0","february 15 2012"
"NULL","plvincenzo","0","september 8 2011"
"NULL","pneucktenna1990","0","november 1 2011"
