"Rank","Company","State","Industry","Revenue ($bil)","Employees"
"274","Arctic Slope Regional","AK","Oil & Gas Refining & Marketing","1.78  &nbsp;&nbsp;&nbsp;&nbsp;","7850"
"178","O'Neal Steel","AL","Steel & Iron","2.44  1&nbsp;&nbsp;","4400"
"195","Ebsco Industries","AL","Conglomerates","2.30  &nbsp;&nbsp;&nbsp;&nbsp;","6500"
"207","Anderson Cos","AL","Wholesale Other","2.21  e&nbsp;&nbsp;","9800"
"235","Brasfield & Gorrie","AL","General Contractors","2.01  &nbsp;&nbsp;&nbsp;&nbsp;","3131"
"261","Drummond","AL","Nonmetallic Mineral Mining","1.89  &nbsp;&nbsp;&nbsp;&nbsp;","5600"
"285","McWane","AL","Industrial Equipment & Components","1.70  &nbsp;&nbsp;&nbsp;&nbsp;","7500"
"175","Golden Living","AR","Home Health Care","2.49  &nbsp;&nbsp;&nbsp;&nbsp;","41000"
"125","Swift Transportation","AZ","Trucks & Other Vehicles","3.27  &nbsp;&nbsp;&nbsp;&nbsp;","21900"
"157","Services Group of America","AZ","Food Wholesale","2.70  &nbsp;&nbsp;&nbsp;&nbsp;","4200"
"193","Discount Tire","AZ","Auto Parts Stores","2.31  &nbsp;&nbsp;&nbsp;&nbsp;","11630"
"215","Bashas'","AZ","Grocery Stores","2.16  &nbsp;&nbsp;&nbsp;&nbsp;","14300"
"239","Hunt Construction Group","AZ","Heavy Construction","2.00  &nbsp;&nbsp;&nbsp;&nbsp;","800"
"263","Shamrock Foods","AZ","Food Wholesale","1.86  &nbsp;&nbsp;&nbsp;&nbsp;","2616"
"7","Bechtel","CA","Heavy Construction","27.00  &nbsp;&nbsp;&nbsp;&nbsp;","42500"
"19","Platinum Equity","CA","Conglomerates","13.50  2&nbsp;&nbsp;","50000"
"28","Capital Group Cos","CA","Asset Management","9.90  e&nbsp;&nbsp;","9000"
"36","Hilton Hotels","CA","Lodging","8.09  &nbsp;&nbsp;&nbsp;&nbsp;","100000"
"42","Murdock Holding Company","CA","Farm Products","7.90  1&nbsp;&nbsp;","90204"
"67","Save Mart Supermarkets","CA","Grocery Stores","5.10  2&nbsp;&nbsp;","23000"
"79","Kingston Technology Company","CA","Semiconductor- Memory Chips","4.50  &nbsp;&nbsp;&nbsp;&nbsp;","4500"
"86","Levi Strauss & Co","CA","Textile - Apparel Clothing","4.36  &nbsp;&nbsp;&nbsp;&nbsp;","11550"
"101","Consolidated Elec Distributors","CA","Wholesale Other","3.90  e&nbsp;&nbsp;","6160"
"106","Stater Bros","CA","Grocery Stores","3.74  e&nbsp;&nbsp;","19000"
"116","Raley's","CA","Grocery Stores","3.45  e&nbsp;&nbsp;","15500"
