"Wikipage revision ID","label","Wikipage page ID"
"682271998","Wichita Jr. Thunder","46651845"
"681543473","Breezy Point North Stars","47483152"
"","Brewster Bulldogs",""
"","Hull Pirates",""
"","Tottenham Steam","45342102"
"","Aston Rebels","47195294"
"","Grand Falls Andcos","47714978"
"679756352","Oakville Titans","47729636"
"","Perth Pelicans",""
"","Perth Sharks",""
"","SA Suns","47869846"
"679796695","Six Nations Rivermen","47738180"
"683927690","St. Bon's Bluegolds","47689326"
"679625553","St. Catharines Saints (2011–)","47714218"
"","St. John's Capitals","47700969"
"683146424","Stephenville Jets","47948929"
"","Strait Pirates",""
"","Adirondack Flames",""
"","Anyang Halla",""
"","Baltimore Skipjacks",""
