"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Budapest","http://dbpedia.org/resource/Budapest","Iván Faragó"
"","","Katerina Rohonyan"
"http://dbpedia.org/resource/India","http://dbpedia.org/resource/India","Swaminathan Soumya"
"","","Szymon Winawer"
"http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","Vladimir Lazarev"
"","","Arnold Denker"
"","","Ashot Anastasian"
"","","Aschot Nadanjan"
"","","István Bilek"
"","","Pedro Damiano"
"","","William Donaldson"
"http://dbpedia.org/resource/Lviv","http://dbpedia.org/resource/Lviv","Andrij Wowk (szachista)"
"","","Artur Yusupov"
"","","Darryl Johansen"
"","","David Navara"
