"Name of territory with  flag","Area (km&sup2;)","Population (2005)","Population density (per km&sup2;)","Capital"
"Argentina","2766890","39537943","14.3","Buenos Aires"
"Bolivia","1098580","8857870","8.1","{La Paz|Sucre}"
"Brazil","8511965","186112794","21.9","Bras&iacute;lia"
"Chile","756950","15980912","21.1","Santiago  Valpara&iacute;so"
"Colombia","1138910","42954279","37.7","Bogot&aacute;"
"Ecuador","283560","13363593","47.1","Quito"
"Falkland Islands ( UK)","12173","2967","0.24","Stanley"
"French Guiana (France)","91000","195506","2.1","Cayenne"
"Guyana","214970","765283","3.6","Georgetown"
"Paraguay","406750","6347884","15.6","Asunci&oacute;n"
"Peru","1285220","27925628","21.7","Lima"
"South Georgia and South Sandwich Islands","3093","&mdash;","&mdash;","Grytviken"
"Suriname","163270","438144","2.7","Paramaribo"
"Uruguay","176220","3415920","19.4","Montevideo"
"Venezuela","912050","25375281","27.8","Caracas"
"Total","17821601","371274004","20.8", ""
