" ","abundancee","bo","bp","cb","di","ep","ff","hnb","mp","ph","qw","sw","tw","tt","ty","wl"
"loons"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"common loon","uw"," "," "," "," "," "," "," "," ","x"," "," "," "," "," ","x"
"red-throated loon","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"grebes"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"horned grebe","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"pied-billed grebe","cw"," "," "," ","x","x"," "," ","x","x","x"," ","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"pelicans and allies"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"american white pelican","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"brown pelican","cr"," "," "," ","x"," "," ","x"," "," "," "," "," "," "," ","x"
"northern gannet","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"double-crested cormorant","cr"," "," "," ","x"," "," "," ","x","x","x"," ","x","x","x","x"
"anhinga","cr"," ","x"," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
"magnificent frigatebird","cr"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"herons and allies"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"great blue heron (great white)","cr"," "," "," ","x"," "," "," "," ","x"," "," "," "," "," ","x"
"great blue heron","cr"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"green heron","cr ranches park"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"little blue heron","cr ranches park"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"cattle egret","cr"," ","x"," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
"reddish egret","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"great egret","cr"," "," ","x","x","x","x"," ","x","x","x"," ","x","x"," ","x"
"snowy egret","cr"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," ","x"
"tricolored heron","cr"," "," "," ","x","x","x"," ","x","x","x","x","x","x","x","x"
"black-crowned night-heron","ur"," "," "," "," "," ","x"," ","x","x"," "," "," "," "," ","x"
"yellow-crowned night-heron","cr"," "," "," ","x","x"," "," "," ","x"," ","x"," "," ","x","x"
"least bittern","ur"," "," "," "," "," "," "," ","x","x"," "," "," ","x"," "," "
"american bittern","ur"," "," "," "," "," "," "," ","x","x"," "," "," "," "," "," "
"wood stork","cr"," "," "," "," "," "," "," ","x"," "," "," ","x","x"," ","x"
"glossy ibis","ur"," "," "," "," "," "," "," ","x","x"," "," ","x"," "," "," "
"white ibis","cr"," ","x","x","x","x","x"," ","x","x"," ","x","x","x","x","x"
"scarlet ibis","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"roseate spoonbill","ur"," "," "," "," "," "," "," "," "," "," "," ","x"," "," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"waterfowl"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"fulvous whistling-duck","ur"," "," "," "," "," "," "," "," "," "," "," "," ","x"," ","x"
"american black duck","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"mallard","rw"," "," "," ","x","x"," "," "," "," ","x"," ","x","x","x"," "
"mottled duck","cr"," "," "," "," "," "," "," ","x","x"," "," "," ","x"," "," "
"gadwall","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"northern pintail","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"green-winged teal","cw"," "," "," "," "," "," "," "," "," "," "," "," ","x"," "," "
"blue-winged teal","cw"," "," "," "," ","x"," "," ","x"," "," "," "," ","x"," ","x"
"american wigeon","cw"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"northern shoveler","cw"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"wood duck","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"redhead","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"ring-necked duck","cw"," "," "," "," ","x"," "," ","x"," ","x"," "," "," "," ","x"
"canvasback","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"lesser scaup","cw"," "," "," "," "," "," "," ","x","x"," "," "," "," "," ","x"
"bufflehead","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"ruddy duck","uw"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"hooded merganser","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"red-breasted merganser","cw"," "," "," ","x"," "," "," "," "," "," ","x"," "," "," ","x"
"white-faced whistling duck","ro"," "," "," "," "," "," "," "," "," "," "," "," ","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"vultures hawks and falcons"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"turkey vulture","cr"," ","x","x"," ","x"," "," ","x","x","x","x","x","x"," "," "
"black vulture","cr"," "," "," "," "," ","x"," ","x","x","x","x","x","x"," "," "
"swallow-tailed kite","cs"," "," "," "," "," ","x"," "," "," "," "," "," ","x"," "," "
"snail kite","rr"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"white-tailed kite","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"sharp-shinned hawk","uw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"cooper's hawk","uw"," "," "," ","x"," "," "," ","x","x"," "," "," "," "," "," "
"red-tailed hawk","ur"," ","x"," "," ","x","x"," ","x","x"," ","x","x","x"," ","x"
"red-shouldered hawk","cr"," "," "," "," ","x","x"," ","x","x","x","x","x","x","x","x"
"broad-winged hawk","cm"," "," "," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
"swainson's hawk","um"," "," "," "," "," ","x"," "," "," "," "," "," "," "," "," "
"short-tailed hawk","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bald eagle","ur"," "," "," "," "," "," "," "," "," "," "," ","x","x"," ","x"
"northern harrier","cw"," "," "," "," "," "," "," ","x","x"," "," ","x"," x"," "," "
"osprey","cr"," ","x"," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"peregrine falcon","uw"," "," "," "," ","x"," "," "," "," "," "," "," "," "," ","x"
"merlin","uw"," "," "," ","x","x"," "," ","x","x","x","x"," ","x"," ","x"
"american kestrel","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"gallinaceous birds"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"northern bobwhite","ur"," "," "," "," "," ","x"," ","x","x"," ","x","x","x"," "," "
"wild turkey","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"cranes rails and allies"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"sandhill crane","ur"," "," "," "," "," "," "," "," ","x"," "," "," "," "," "," "
"limpkin","cr ranches park"," "," "," "," "," ","x"," ","x","x","x"," ","x"," "," "," "
"king rail","cr"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"clapper rail","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"virginia rail","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"sora","cw"," "," "," "," "," "," "," ","x"," "," "," "," ","x"," "," "
"yellow rail","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black rail","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"purple gallinule","cr"," "," "," "," "," "," "," ","x"," "," "," "," ","x"," "," "
"common moorhen","cr"," ","x","x"," ","x","x"," ","x","x","x","x","x","x","x","x"
"american coot","cw"," "," "," "," ","x","x"," ","x","x","x"," ","x","x","x","x"
"caribbean coot","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"shorebirds gulls and allies"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"american oystercatcher","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"semipalmated plover","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"piping plover","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"snowy plover","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"wilson's plover","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"killdeer","ur"," "," "," ","x","x","x"," ","x","x","x","x","x","x","x","x"
"lesser golden plover","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black-bellied plover","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"common snipe","cw"," "," "," "," "," "," "," ","x","x"," "," ","x","x"," "," "
"american woodcock","ro"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"long-billed curlew","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"whimbrel","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"upland sandpiper","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"spotted sandpiper","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"solitary sandpiper","um"," "," "," "," ","x"," "," ","x"," "," "," "," "," "," ","x"
"willet","cr"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"ruddy turnstone","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"greater yellowlegs","cw"," "," "," "," ","x"," "," "," ","x"," "," ","x","x"," ","x"
"lesser yellowlegs","cw"," "," "," "," ","x"," "," "," ","x","x"," ","x"," "," ","x"
"red knot","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"purple sandpiper","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"pectoral sandpiper","um"," "," "," "," "," "," "," ","x","x"," "," "," "," "," "," "
"white-rumped sandpiper","um"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"least sandpiper","cw"," "," "," "," ","x"," "," ","x"," "," "," "," ","x"," ","x"
"dunlin","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"short-billed dowitcher","cw"," "," "," "," "," "," "," "," "," "," "," ","x"," "," ","x"
"long-billed dowitcher","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"stilt sandpiper","um"," "," "," ","x"," "," "," "," "," "," "," "," "," "," ","x"
