"Wikipage page ID","capacity","developed from","Wikipage revision ID","eng1 name","crew","label"
"47261021","one passenger","http://dbpedia.org/resource/Caudron_Type_C","676544673","http://dbpedia.org/resource/Gnome_Lambda","one pilot","Caudron Type E"
"47226373","","http://dbpedia.org/resource/Caudron_Type_E","680044851","","one","Caudron Type F"
"47403396","","","677906342","","one","De Marçay 4"
"47412831","one passenger","","681779375","","one pilot","De Marçay Limousine"
"47298417","","","678009331","","Two","Euler Hydro-triplane"
"47412765","","","682180334","","","Ezekiel Airship"
"47268933","","","681371549","","","Flitfire"
"47505043","","","679652455","","1","HMPAC Puffin"
"47211339","5","","671000123","","1","Henderson H.S.F.1"
"47197029","","","674164871","","3","Kawanishi E5K"
"47399461","","","675217716","","none","LAPAN LSU-02"
"47937992","","","683214013","","1","Lorraine Hanriot LH.130"
"47205890","","","679929019","http://dbpedia.org/resource/Gnome_Monosoupape","1","Nieuport Madon"
"47424628","one passenger","","674451244","","one","Roll Flight MR V"
"47402614","","","682302367","http://dbpedia.org/resource/Clerget_aircraft_engines","One","Wight Quadruplane"
"47234522","","","671362807","","","Xian H-20"
"47542579","","","681214300","","","Zerbe Air Sedan"
"47111668","1","","669861656","","1","ACS-Itaipu Sora-E"
"47971441","","","683386993","Solo","one","Adventure A series"
"47971628","","","683387472","http://dbpedia.org/resource/Radne_Raket_120","one","Adventure R series"
