"Language","Green Countries","Red Countries","Orange"
"Arabic","Libya","NULL","Bahrain Egypt Iraq (+) Israel (+) Jordan Kuwait Lebanon (+) Morocco Oman Palestine Saudi Arabia Sudan (+) Syria (+) Tunisia Yemen"
"English","NigeriaRwandaUSA (+)","Belize (+) Pakistan (+) Philippines (+)","Canada (+) Gambia Guyana India (+) Kenya (+) Mauritius (+) Namibia (+) Saint Kitts and Nevis Sierra Leone Singapore (+) South Africa (+) St. Lucia Trinidad and Tobago Uganda (+) Zimbabwe (+)"
"French","Rwanda","Haiti (+)","Benin Cameroon (+) Democratic Republic of the Congo  (+) Gabon Mali Niger Senegal St. Martin (+) Togo"
"Hausa","Nigeria", "", ""
"Igbo","Nigeria", "", ""
"Kinyarwanda","Rwanda", "", ""
"Portuguese","Brazil","Angola","Mozambique Portugal S?o Tom? and Pr?ncipe"
"Spanish","ArgentinaPeru (+)UruguayUSA (+)","Belize Costa Rica Dominican Republic El Salvador Guatemala (+) Honduras M?xico (+) Nicaragua Panam? Colombia","Bolivia (+) Chile Cuba Ecuador Paraguay (+) Puerto Rico (+) Spain (+) Venezuela (+)"
"Thai","Thailand", "", ""
"Yoruba","Nigeria", "", ""
"Other non-green languages","Other non-green languages","Ethiopia Indonesia Philippines (+) Pakistan (+) Vietnam","Afghanistan Albania Armenia Azerbaijan Bangladesh Bhutan (+) Bosnia and Herzegovina Cambodia China (+) Croatia Cyprus Eritrea Estonia Georgia Greece Hungary Iceland India (+) Iran Italy Japan Kyrgyzstan Latvia Lithuania Macedonia Malaysia Moldova Mongolia Romania Russia Slovenia South Korea Sri Lanka Tajikistan Tanzania Turkey Ukraine Uzbekistan Vatican City"
