"Locale","Language","Country","Charset","Downloads"
"ar-AE","Arabic","United Arab Emirates","Arabic","UAE (Gulf) Arabic Pronunciation Sound Package"
"he","Hebrew","Israel","Hebrew","Hebrew Pronunciation Sound Package"
"hi","Hindi","India","Devanagari","Hindi Pronunciation Sound Package"
"jp","Japanese","Japan","Hiragana Katakana","Japanese Pronunciation Sound Package"
"ko","Korean","South Korea","Hangul","Korean Pronunciation Sound Package"
"ru","Russian","Russia","Cyrillic","Russian Pronunciation Sound Package"
"tr","Turkish","Turkey","Latin","Turkish Pronunciation Sound Package"
"vi","Vietnamese","Vietnam","Latin","Vietnamese Pronunciation Sound Package"
"zh-cmn-CN","Chinese Mandarin","PRC China","Simplified Han","Chinese Mandarin Pronunciation Sound Package"
"zh-yue-HK","Hong Kong Cantonese","Hong Kong","Traditional Han","Hong Kong Cantonese Pronunciation Sound Package"
