"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Ławoczne","664032079","http://w1.c1.rada.gov.ua/pls/z7503/A005?rdat1=28.04.2015&rf7571=20929","46546270"
"Lelooska Museum","","",""
"Leyburn State School","680481509","https://leyburnss.eq.edu.au","46718934"
"Instalaciones de Lezama","672746584","http://www.athletic-club.eus/en/facilities-lezama.html","46379617"
"Liebertwolkwitz","667927981","http://www.liebertwolkwitz.de","46874013"
"Liebfrauenkapelle (Rapperswil)","","",""
"Liechtensteinisches Landesmuseum","670803828","http://www.landesmuseum.li/","46344885"
"Lied Center of Kansas","672621799","","46823248"
"Light House Melbourne","","","45668031"
"Line S14 (Milan suburban railway service)","659769852","http://www.trenord.it","46522137"
"Liverpool Reform Synagogue","","","47784061"
"Loop Service (Portland Streetcar)","","",""
"Los Angeles Clippers Training Center","683875054","http://www.clippers.com","46621427"
"Waldbahn Loiga","","","46379970"
"Lunar Flashlight","664726183","http://sservi.nasa.gov/articles/lunar-flashlight/","46784364"
"MPCA Ground","","","47725736"
"Macquarie Ice Rink","683716332","http://www.macquarieicerink.com.au","47989081"
"Madame Tussauds San Francisco","682837040","https://www.madametussauds.com/sanfrancisco","46835235"
"Madhya Pradesh Cricket Association Ground","679570634","","47725671"
"Maharaja of Benares Palace Ground","","",""
