"Country","Language","Hotline","Day","Hour"
"Australia","English","1300-482-482Toll Free","Mon - Sun","8 am - 8 pm (AEST)"
"China","English ??","400-821-8998","Mon - Sun","9 am - 9 pm"
"Hong Kong","?? English ???","+852-3520-1234","Mon - Sun","8 am - 8 pm(Mon.-Sat.)9 am - 6 pm(Sun.&amp; Public Holiday)"
"India","English ?????","+1800 266 3566 Toll Free Note: Excluding 3 national holidays 1. Republic Day 2. Independence Day 3. Gandhi Jayanti Day","Mon - Sun","9:00 am &ndash; 8:00 pm"
"Indonesia","Bahasa Indonesia &amp; English","+62-21-5695-4393(Closed on Sunday and public Holiday)","Mon - Fri    Sat","9 am - 5 pm (Mon.-Fri.)9am ~ 3 pm (Sat.)"
"Japan","???","0120-686-850Toll Free (HTC Watch????)","Mon - Sun","11 am - 7 pm"
"Korea","???","+82-1588-3220","Mon - Fri  Sat","9 am - 6 pm 9 am - 1 pm"
"Malaysia","English","1-300-888-HTC (482)","Mon - Sat   Sun","8 am - 8 pm9 am ~ 6 pm"
"New Zealand","English","+64-9-9250415 ;&nbsp; 0800-482-010 (toll free)","Mon - Sun","8 am - 8 pm (NZ time)"
"Philippines","English Tagalog","+63-02-8229269","Mon- Sun","8 am - 8 pm"
"Singapore","English ??","1800-238-7788Toll Free","Mon - Sat   Sun","8 am - 8 pm9 am ~ 6 pm"
"Taiwan","English ??","+886-2-8761-5959  0800-088-8580800 is toll free number and there is no accessvia mobile phone &amp; Payphone.","Mon - FriSat - Sun","8 am - 8 pm(Mon.-Fri.)9 am - 6 pm(Sat.-Sun.)"
"Thailand","English ???????","+66-264-03399","Mon-Sun","09.00-18.00 (Mon &ndash; Fri)10.30 &ndash; 19.30 (Sat &ndash; Sun &amp; Public Holiday)"
"Vietnam","English Ti?ng Vi?t","1900-555-567 / +84-838-620720(Ho Chi Minh) /+84-439-743988 (Hanoi)","Mon - Sat","8:30 am - 6 pm"
