"label","Wikipage page ID","Wikipage revision ID"
"Club cheval","47829134","681357141"
"Color-code (band)","",""
"Come What May (band)","47372099","673610963"
"Come and Rest","46903397","668295988"
"Conveyer (band)","",""
"Corrupt Leaders","46328185",""
"Cry For Silence (band)","48005545","683922319"
"Cursed Legacy","",""
"Cygnus Flare","46650355","663837891"
"DIA (South Korean Band)","",""
"Da-Ice","",""
"Dawkins & Dawkins","46184694","652839466"
"Day6","",""
"Days N' Daze","46303648",""
"Dayseeker","",""
"Dead Heavens","47900918",""
"Death Team","46223984","668844155"
"Deepcentral","46924611","667202849"
"Dependency (band)","",""
"Distant Cousins (American band)","47753049",""
