"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label","binomial"
"47258063","http://www.marinespecies.org/aphia.php?p=taxdetails&id=514869","672158656","Alpheus fasqueli","Alpheus fasqueli"
"47223513","http://www.marinespecies.org/aphia.php?p=taxdetails&id=514984","672158650","Alpheus tricolor","Alpheus tricolor"
"47407728","","674257918","Armadillidium depressum","Armadillidium depressum"
"47411305","","682155312","Neusoproller","Armadillidium nasatum"
"47228205","","671310826","Brevisomabathynella cooperi",""
"47228247","","671643627","Brevisomabathynella cunyuensis",""
"47483587","","675464929","Cambarus chasmodactylus","Cambarus chasmodactylus"
"47245925","","671569330","Concavus",""
"47417155","","674334217","Demanietta",""
"47417357","","674460784","Demanietta renongensis","Demanietta renongensis"
"47149826","","669890006","Domeciidae",""
"47483290","http://www.marinespecies.org/aphia.php?p=taxdetails&id=391997","675447026","Eumunida chani","Eumunida chani"
"47276934","","683093222","Gecarcinus nobilii","Gecarcinus nobilii"
"47519790","","677351828","Heterocaprella krishnaensis","H. krishnaensis"
"47293171","http://www.marinespecies.org/aphia.php?p=taxdetails&id=392516","676770056","Munidopsis echinata","Munidopsis echinata"
"47293170","http://www.marinespecies.org/aphia.php?p=taxdetails&id=392636","673206472","Munidopsis tuberosa","Munidopsis tuberosa"
"47304829","","676911458","Panulirus penicillatus",""
"47189503","","670715073","Porcellio rufobrunneus","Porcellio rufobrunneus"
"47291624","","672334720","Potamonautes isimangaliso",""
"47149693","","669897042","Pseudorhombilidae",""
