"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"47021401","Jillyang","http://gbgs.go.kr/dong14/","668358999"
"","Jing Fong","",""
"","Joe's Pizza","",""
"46764618","Johan Setia LRT Station","http://www.lrt3.com.my","666390687"
"","John's of Bleecker Street","",""
"","Jubilee Maidan Ground","",""
"","Judges Field","",""
"","Juliana's Pizza","",""
"48011304","KA Commuter Line Jakarta Kota-Bekasi","","683909255"
"46297501","Kalyves Polygyrou","http://www.interalex.net/search?q=kalyves+polygyrou","665906532"
"47718285","Kamla Club Ground","",""
"","Kampala Hospital","",""
"","Kampong Kapor Methodist Church","",""
"47822731","Kamunting-Butterworth-Gurun Line","http://www.ktmrailwayfan.com/","681512150"
"46319516","Kanda (restaurant)","",""
"46935885","Kantunil (municipio)","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","675409582"
"47907337","Karivedu","http://www.karivedu.blogspot.com","682514865"
"47944234","Kasperivtsi","http://1ua.com.ua/c29425","683425690"
"","Katarina Jee","",""
"46737868","Keitum","http://www.gemeinde-sylt.de/","664285009"
