"number of matches or caps","Anzahl der erzielten Tore","Jahre","Team","label"
"9","1","2012","http://dbpedia.org/resource/FC_Dinamo_II_București",""
"9","0","2012","http://dbpedia.org/resource/CSM_Metalul_Reșița",""
"","","2013","http://dbpedia.org/resource/CS_Ştefăneşti",""
"21","7","2014","http://dbpedia.org/resource/FC_Voluntari",""
"","","2011","http://dbpedia.org/resource/FC_Las_Tunas",""
"","","2012","http://dbpedia.org/resource/FC_La_Habana",""
"5","0","2011","http://dbpedia.org/resource/Cuba_national_under-17_football_team",""
"13","3","2012","http://dbpedia.org/resource/Cuba_national_under-20_football_team",""
"5","0","2014","http://dbpedia.org/resource/Cuba_national_under-21_football_team",""
"","","","http://dbpedia.org/resource/Partizán_Bardejov",""
"","","2012","http://dbpedia.org/resource/MFK_Zemplín_Michalovce",""
"40","3","2012","http://dbpedia.org/resource/MFK_Zemplín_Michalovce",""
"3","0","2011","",""
"2","0","2013","",""
"","","2011","http://dbpedia.org/resource/Fútbol_Alcobendas_Sport",""
"21","13","2012","http://dbpedia.org/resource/GD_Serzedelo",""
"18","3","2013","http://dbpedia.org/resource/AD_Fafe",""
"22","13","2014","http://dbpedia.org/resource/SC_Vianense",""
"14","7","2015","http://dbpedia.org/resource/U.D._Leiria",""
"2","0","2014","http://dbpedia.org/resource/Guinea-Bissau_national_football_team",""
