"TYPE","ARTICLE NAME","DATE"
"AVAILABLE","Green Whole Log Softwood Shavings","2012-01-27"
"AVAILABLE","OFFICE PRODUCTS","2012-01-26"
"AVAILABLE","EPOXY COATED POLYESTER","2012-01-26"
"AVAILABLE","Mixed Catalytic Converter Scrap","2012-01-25"
"AVAILABLE","Plastic Toll Grinding","2012-01-24"
"AVAILABLE","USED HARD AND SOFT TOYS","2012-01-24"
"AVAILABLE","Junk","2012-01-19"
"WANTED","mixed rags","2012-01-19"
"AVAILABLE","TRIPLE WALL GAYLORD BOXES","2012-01-19"
"AVAILABLE","REUSABLE PP SUPERSAKS","2012-01-19"
