"Date","Manga","Ch","Lang","Translator"
"May 27 2012","KissxSis","57","","luispau..."
"May 27 2012","Akame ga Kill","12","","lucifell"
"May 27 2012","Soukai no Eve","8","","PROzess"
"May 27 2012","The Breaker: New...","34","","Goudarz"
"May 27 2012","The Breaker: New...","33","","Goudarz"
"May 27 2012","The Breaker: New...","32","","Goudarz"
"May 27 2012","Minamoto-kun&#039;s...","33","","PROzess"
"May 27 2012","Magi - Labyrinth...","140","","aegon-r..."
"May 27 2012","Hanamaru Youchien","Special : Volume 6 Special","","Eru13"
"May 26 2012","Otoshite Appli Girl","6","","Eru13"
