"NEW! 2012 Coastal Passage Tours","Start","End","Duration"
"Canadian Rockies Highlights + Coastal Passage","Seattle","Calgary","7 nights"
"Canadian Rockies Highlights + Coastal Passage","Calgary","Seattle","7 nights"
"Canadian Rockies Highlights + Coastal Passage Pre Cruise","Seattle","Calgary","12 nights"
"Canadian Rockies Highlights + Coastal Passage Post Cruise","Calgary","Seattle","14 nights"
"Western Explorer + Coastal Passage","Seattle","Calgary","9 nights"
"Western Explorer + Coastal Passage","Calgary","Seattle","9 nights"
"Western Explorer + Coastal Passage Pre Cruise","Seattle","Calgary","15 nights"
"Western Explorer + Coastal Passage Post Cruise","Calgary","Seattle","15 nights"
"Classic Coastal Passage Pre Cruise","Seattle","Jasper","11 nights"
"Classic Coastal Passage Post Cruise","Jasper","Seattle","11 nights"
"Classic Coastal Passage Pre Cruise","Seattle","Banff","10 nights"
"Classic Coastal Passage Post Cruise","Banff","Seattle","12 nights"
