"Wikipage page ID","label","Link from a Wikipage to an external page","Criteria","imagecaption","id","Wikipage revision ID"
"47180283","百済考古遺跡","http://whc.unesco.org/en/list/1477","","","","670427133"
"47155669","Insediamenti Tusi","","","","","670345451"
"","","","","","1318",""
"","","","","","1211",""
"","Ajanta Caves","","","","",""
"","Ambohimanga","","","","",""
"","Angkor","","","","",""
"","Apo-Riff","","","","",""
"","Bonin Islands","","","","",""
"","Bulguksa","","","","",""
"","Dujiangyan irrigation system","","","","",""
"","Ellora Caves","","","","",""
"","Fatehpur Sikri","","","","",""
"","Great Barrier Reef","","","","",""
"","Haeinsa","","","","",""
"","هاهوي (أندونغ)","","","","",""
