"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"683518767","http://www.aukom.info/english","AUKOM","47371998"
"","","A Bullet For Pretty Boy",""
"","","A Hill to Die Upon",""
"","","A Minor Revolution",""
"","","A Past Unknown",""
"682837776","http://www.twosome.co.kr/","A Twosome Place","46423867"
"","","Aalami Samay",""
"","","Aarhus Academy","47668016"
"","","Aarhus Business College","47672768"
"","","Aarhus Educational Centre for Agriculture","47667218"
"","","Aarhus School of Marine and Technical Engineering","47664452"
"","","Aastha Bhajan TV",""
"664472445","","Abbey Rangers F.C.","46817430"
"","","Abigail's Ghost",""
"669701976","http://www.adfd.ae/pages/default.aspx","Abu Dhabi Fund for Development","46931585"
"678445409","http://www.adnic.ae/en/","Abu Dhabi National Insurance Company","47661836"
"680201007","","Abu Dhabi Tourism & Culture Authority","47004779"
"671938918","http://www.abunayyanholding.com/en/","Abunayyan Holding","46386048"
"662514871","http://www.academicchess.com","Academic Chess","46608893"
"","","Academy 360",""
