"species","#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15","#16","NULL"
"common loon","3","1","3","6","&nbsp;","1","x","&nbsp;","&nbsp;","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-throated loon","4","1","1","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"horned grebe","&nbsp;","&nbsp;","1","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"pied-billed grebe","4","x","1","x","3","1","x","&nbsp;","&nbsp;","1","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"gannet","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"double-crested cormorant","55","15","50","&nbsp;","1","6","&nbsp;","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"great blue heron","3","7","3","x","4","5","x","12","5","3","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"american egret","10","2","3","x","x","x","x","&nbsp;","x","&nbsp;","15","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"snowy egret","2","&nbsp;","&nbsp;","&nbsp;","x","4","x","12","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"louisiana heron","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"little blue heron","1","&nbsp;","5","x","3","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"green heron","4","6","1","x","12","2","x","3","1","1","2","x","4","x","&nbsp;","&nbsp;","NULL"
