"label","Wikipage page ID","ImageFile","imagesize","IUPACName","othernames","Wikipage revision ID"
"Jiadifenolide","47373923","jiadifenolide.png","","-69","","675579302"
"Myxoxanthophyll","47694859","File:Myxoxanthophyll.svg","","-2","-120.0","679215079"
"Pachymic acid","47379808","Pachymic acid.png","","3","","675286461"
"Pelargonin","47391282","Pelargonidin 3-5-diglucoside.png","250","-2","","675936129"
"Pentaheptafulvalene","47895448","","200","","","682900176"
"Perfluorocyclohexane","47707938","Perfluorocyclohexane.png","200","","","680044030"
"Phosphoramide","47900160","Phosphoramide.svg","150","Phosphoric triamide","Phosphoric amide; Diaminophosphorylamine","682247086"
"Pregnenolone 16α-carbonitrile","47564053","Pregnenolone carbonitrile.png","200","","","676948845"
"Sandalore","47374753","sandalore.svg","200","3","Sandal pentanol","676201489"
"Sodium triethylborohydride","47703835","","","","","679206155"
"Tetramethyldiborane","47379299","Tetramethyldiborane.svg","","tetramethyldiborane","boraethane","680358758"
"Thioxanthon","47590704","9","200","9","Thioxanthenone;  9-Oxothioxanthene; Thioxanthen-9-one","677305256"
"Triafulvalene","47907415","Triafulvalene.png","200","","","682900097"
"Vanadium phosphate","47732302","","","","","679986627"
"12-O-Tetradecanoylphorbol-13-acetate","1300599","","","","","680011113"
