"Name","Country","Sales (US $mil)","Net Income (US $mil)","Market Value (US $mil)","Industry"
"Ahnlab","South Korea","50","16","199","online security services"
"Bukwang Pharmaceutical","South Korea","146","21","716","drugs"
"Core Logic","South Korea","205","28","124","electronic components"
"EO Technics","South Korea","91","9","181","semiconductor machinery"
"eSang Networks","South Korea","37","4","162","online services"
"Hana Tour Service","South Korea","192","25","1088","travel services"
"Hanmi Pharmaceutical","South Korea","480","78","1279","drugs"
"Hanmi Semiconductor","South Korea","134","21","307","semiconductors"
"Infopia","South Korea","22","6","301","health-care products"
"Infraware","South Korea","15","2","178","software support"
"Jinro Distillers","South Korea","74","18","203","alcohol distillery"
"JVM","South Korea","39","13","324","industrial machinery"
"LEENO Industrial","South Korea","43","14","144","electronic components"
"Megastudy","South Korea","121","29","1571","educational services"
"NHN","South Korea","697","163","9385","internet broadcasting"
"PSK","South Korea","151","31","273","semiconductors"
"Standard Diagnostics","South Korea","23","5","115","drugs"
"T.K.","South Korea","233","21","678","metal-working"
"Taewoong","South Korea","321","30","1359","metal-working"
"Techno Semichem","South Korea","159","27","387","checmicals"
"TSM Tech","South Korea","149","14","210","metal-working"
