"Geburtsdatum","birth place","Geburtsort","label"
"","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France","Gérard DuBois"
"","http://dbpedia.org/resource/California","http://dbpedia.org/resource/California","HT Tran"
"","http://dbpedia.org/resource/Sivas","http://dbpedia.org/resource/Sivas","Habip Soluk"
"","http://dbpedia.org/resource/Tehran","http://dbpedia.org/resource/Tehran","Hadi Partovi"
"1989-06-01","http://dbpedia.org/resource/Gabon","http://dbpedia.org/resource/Gabon","Hadiza Aliyu"
"1991-02-14","","","Haely Jardas"
"","","","Hajar Ahmed Hajar"
"","http://dbpedia.org/resource/Afyonkarahisar","http://dbpedia.org/resource/Afyonkarahisar","Halil Ürün"
"1983-05-01","http://dbpedia.org/resource/Mashhad","http://dbpedia.org/resource/Mashhad","Hamed Shakernejad"
"1974-09-19","http://dbpedia.org/resource/Lahti","http://dbpedia.org/resource/Lahti","Hanna Mäntylä"
"1984","","","Hannah Kendall"
"","","","Hannah Vaughan Jones"
"","","","Hannah Wagner"
"","","","Hannah Wilson (Home and Away)"
