"Sterbedatum","Geburtsdatum","label"
"1978-01-28","1896-11-24","Claude Toovey"
"","","Clem Dayman"
"1989-12-04","1908-02-03","Colin MacKay"
"1987-03-03","1903-10-04","Con Hogan"
"","1996-01-25","Darcy Moore"
"1964-10-10","1907-12-28","Davitt Coghlan"
"1947-03-27","1888-06-26","Des Baird"
"1999-03-27","1903-09-21","Doug Anderson (Australian footballer)"
"","","Doug Booth"
"1984-06-18","1899-06-21","Doug Parks"
"","","Ed Ryan (Australian footballer)"
"1974-07-07","1903-03-12","Eddie Schenk"
"1985-02-27","1900-11-26","Eric Chatfield"
"1984-06-19","1904-08-25","Eric Reichman"
"1983-07-07","1903-03-21","Ern Michel"
"1969-11-27","1904-05-22","Frank Beggs"
"1977-07-31","1902-12-16","Frank Costigan (footballer)"
"1963-12-29","1907-03-15","Frank Fleming (Australian footballer)"
"1978-03-06","1903-08-21","Frank Raymond (footballer)"
"","","Frank Scully (footballer)"
