"r203","r245","?"
"9","9","== Installation ==?"
"10","10","?"
"11","?","All operations should be performed as root.?"
"?","11","'''All operations should be performed as root.'''?"
"12","12","?"
"13","?","&nbsp;* Download sources :?"
"?","13","=== Source install ===?"
"?","14","?"
"?","15","&nbsp;* Grab the latest sources from project's svn repository :?"
"14","16","?"
"15","?","svn export http://www.clever-age.org/svn/cleverbox/tags/0.4?"
"?","17","svn export http://www.clever-age.org/svn/cleverbox/trunk?"
"16","18","?"
"17","19","&nbsp;* Install sources :?"
"18","?","You need either an access to internet or latest `setuptools` installed. ?"
"19","20","?"
"20","21","python setup.py install?"
