"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Bannu","Irfanullah Shah","http://dbpedia.org/resource/Bannu"
"","Isaac Damarell",""
"","Jagath Roshantha",""
"http://dbpedia.org/resource/England","Jake Foley","http://dbpedia.org/resource/England"
"","James Minchin","http://dbpedia.org/resource/Melbourne"
"","James Trinnick","http://dbpedia.org/resource/Devon"
"","Jamie Nussbaumer",""
"http://dbpedia.org/resource/New_York","Jasdeep Singh","http://dbpedia.org/resource/New_York"
"","Jaxies Samuel",""
"http://dbpedia.org/resource/Pannipitiya","Jayantha Paranathala","http://dbpedia.org/resource/Pannipitiya"
"","Jelany Chilia",""
"","Joe O'Gorman","http://dbpedia.org/resource/Walworth"
"","John Rosser (cricketer)","http://dbpedia.org/resource/Fremantle"
"","John Tennent (cricketer)","http://dbpedia.org/resource/Hobart"
"","Jonathon Dunn",""
"http://dbpedia.org/resource/England","Jonny Gale","http://dbpedia.org/resource/England"
"","Joshua Ogunlola",""
