"S. No.","Company","Ticker","Exchange","Industry","S/U"
"1","AFP Provida","PVD","NYSE","Financial Services","S"
"2","Banco de Chile","BCH","NYSE","Banks","S"
"3","Banco Santander Chile","SAN","NYSE","Banks","S"
"4","Compania Cervecerias Unidas","CCU","NYSE","Beverages","S"
"5","Corpbanca","BCA","NYSE","Banks","S"
"6","Embotelladora Andina - A Shares","AKO.A","NYSE","Beverages","S"
"7","Embotelladora Andina - B Shares","AKO.B","NYSE","Beverages","S"
"8","Endesa-Empresa Nacional de Electricidad","EOC","NYSE","Electricity","S"
"9","Enersis","ENI","NYSE","Electricity","S"
"10","Lan Airlines","LFL","NYSE","Travel & Leisure","S"
"11","Soc. Quimica y Minera de Chile","SQM","NYSE","Chemicals","S"
"12","Vina Concha y Toro","VCO","NYSE","Beverages","S"
"13","Inversiones Aguas Metropolitanas (IAM)","IAMTY","OTC","GasH20&Multiutility","S"
"14","Supermercados Unimarc","UNRMY","OTC","Food &Drug Retailers","S"
