"Language","Publisher","Date","Contact Info"
"Bulgaria","Alivgo Publishing","&nbsp;","&nbsp;"
"Canada","Ariane Editions Inc.","&nbsp;","www.ariane.qc.ca"
"Croatia","V.B.Z d.o.o.","&nbsp;","www.pensamento-cultrix.com.br"
"Germany","Koha Verlag GmbH","&nbsp;","www.oficinadolivro.pt"
"Hungary","Mandala-Veda Publishing","&nbsp;","www.grupotomo.com.mx"
"Israel","Oram Publishers (The Book Publishers Association of Israel)","&nbsp;","www.koha-verlag.de"
"Italy","Macro Edizioni","&nbsp;","www.macroedizioni.it"
"Japan","Diamond Inc.","&nbsp;","www.mandala-veda.hu"
"Latvia","Lietusdarzs Ltd.","&nbsp;","Starta    Street 22-12                            Riga                            Latvia LV-1026"
"Mexico","Grupo Editorial Tomo SA de CV","&nbsp;","www.oram.co.il"
"Poland","Studio Astropsychologii","&nbsp;","pravaru@gmail.com"
"Portugal","Estrela Polar - Oficina do Livro","&nbsp;","www.vbz.hr"
"Portuguese (Brazil)","Editora Pensamento-Cultrix","&nbsp;","www.editura-foryou.ro"
"Romania","s.c. Editura For You srl.","Dec 2011","lietusputns@inbox.lv"
"Russia","Premiere Publishers Ltd. (Nova Littera Ltd.)","Nov 2011","www.studioastro.pl"
"Serbia","Zrak","Oct 2011","&nbsp;"
"Slovenia","Cangura d.o.o.","Oct 2010","www.cangura.com"
"Turkey","OWO Publishers","Nov 2010","www.diamond.co.jp"
