"label","Wikipage page ID"
"American Museum of Ceramic Art","46836209"
"アミューズミュージアム",""
"青森県立美術館","46377892"
"Armani Silos","46916239"
"Avro Heritage Museum",""
"Museo de Arte Precolombino Felipe Orlando de Benalmádena",""
"Bharat Kala Bhavan",""
"Biblical Museum of Natural History",""
"Bicknell Museum","47785404"
"Bryan Museum","46366371"
"Buduruwagala Museum","47046537"
"Casa das Rosas","46932541"
"Central Australian Aviation Museum","47372628"
"Chester County Historical Society","46273660"
"Children's Museum of Science and Technology","45644141"
"Musée de l'imprimerie de Chine",""
"Museo de Bellas Artes de Córdoba","47694167"
"Dad's Army Museum",""
"Eight-Point Gallery Cafe","47992426"
"Estonian Theatre and Music Museum","46493780"
