"&nbsp;","species","scientific       name","days       /17","high       count","total       count"
"1","great       tinamou","tinamous       major","1","1","1"
"2","little       tinamou","crypterellus       soui","1","2","2"
"3","slaty-breasted       tinamou","crypterellus       boucardi","1","1","1"
"4","least       grebe","tachybaptus       dominicus","1","22","22"
"5","brown       pelican","pelecanus       occidentalis","3","200","244"
"6","olivaceous       cormorant","phalacrocorax       brasilianus","5","30","65"
"7","anhinga","anhinga       anhinga","4","30","41"
"8","magnificent       frigatebird","fregata       magnificens","3","25","51"
"9","great blue       heron","ardea       herodias","5","25","29"
"10","great       egret","ardea       alba","7","100","130"
"11","tricoloured       heron","egretta       tricolour","3","3","5"
"12","little       blue heron","egretta       caerulea","11","5","23"
"13","snowy       egret","egretta       thula","7","15","35"
"14","cattle       egret","bubulcus       ibis","13","c","c"
"15","green       heron","butorides       virescens","5","2","8"
"16","black-crowned night       heron","nycticorax       nycticorax","1","6","6"
"17","yellow-crowned night       heron","nyctanassa       violacea","1","3","3"
"18","boat-billed       heron","cochlearius       cochlearia","1","4","4"
"19","bare-throated       tiger-heron","tigrisoma       mexicanum","4","20","24"
"20","fasciated       tiger-heron","tigrisoma       fasciatum","2","1","2"
"21","pinnated       bittern","botaurus       pinnatus","1","1","1"
"22","wood       stork","mycteria       americana","3","350","380"
"23","jabiru","jabiru       mycteria","1","5","5"
"24","green       ibis","mesembrinibus       cayennensis","1","5","5"
"25","white       ibis","eudocimus       albus","6","30","75"
"26","roseate       spoonbill","ajaja       ajaja","2","6","8"
"27","fulvous       whistling-duck","dendrocygna       bilcolor","1","1","1"
"28","black-bellied       whistling-duck","dendrocygna       autummnalis","1","400","400"
"29","muscovy       duck","cairina       moschata","2","2","3"
"30","blue-winged       teal","anas       discors","2","18","28"
"31","masked       duck","oxyura dominica","1","2","2"
"32","black       vulture","coragyps       atratus","17","c","c"
"33","turkey       vulture","cathartes       aura","17","c","c"
"34","king       vulture","sarcoramphus       papa","3","3","5"
"35","osprey","pandion       haliaetus","5","2","7"
"36","grey-headed       kite","leptodon       cayenensis","3","3","5"
"37","american       swallow-tailed kite","elanoided       forficatus","6","15","35"
"38","pearl       kite","gampsonyx       swainsonii","1","1","1"
"39","white-tailed       kite","elanus       leucurus","5","3","10"
"40","snail       kite","rostrhamus       sociabilis","1","5","5"
"41","double-toothed       kite","harpagus       bidentatus","1","1","1"
"42","plumbeous       kite","ictinia       plumbea","1","2","2"
"43","tiny       hawk","accipiter       superciliosus","1","2","2"
"44","semiplumbeous       hawk","leucopternis       semiplumbeus","2","1","2"
"45","white       hawk","leucopternis       albicollis","2","1","2"
"46","mangrove       black-hawk","buteogallus       subtitles","1","4","4"
"47","harris�       hawk","parabuteo       unicinctus","1","3","3"
"48","grey       hawk","buteo       nitidus","6","5","14"
"49","roadside       hawk","buteo       magnirostris","5","3","11"
"50","broad-winged       hawk","buteo       platypterus","6","2","9"
"51","short-tailed       hawk","buteo       brachyurus","5","2","6"
"52","zone-tailed       hawk","buteo       albontatus","1","1","1"
"53","red-tailed       hawk","buteo       jamaicensis","2","4","5"
"54","black       hawk-eagle","spizaetus       tyrannus","1","1","1"
"55","ornate       hawk-eagle","spizaetus       ornatus","1","1","1"
"56","crested       caracara","plancus       cheriway","5","5","11"
"57","yellow-headed       caracara","milvago       chimachima","6","4","10"
"58","laughing       falcon","herpetotheres       cachinnans","5","1","5"
"59","merlin","falco       columbarius","1","1","1"
"60","bat       falcon","falco       rufigularis","1","1","1"
"61","peregrine       falcon","falco       peregrinus","2","1","1"
"62","grey-headed       chachalaca","ortalis       cinereiceps","4","5","18"
"63","crested       guan","penelope       purpurascens","6","9","27"
"64","black       guan","chamaepetes       unicolor","2","3","4"
"65","spot-bellied       bobwhite","colinus       leucopogon","1","3","3"
"66","marbled       wood-quail","odontophorus       gujanensis","1","4","4"
"67","spotted       wood-quail","odontophorus       erythrops","1","7","7"
"68","limpkin","aramus       guarauna","1","45","45"
"69","white-throated       crake","latterallus       algigularis","2","1","2"
"70","grey-necked       wood-rail","aramides       cajanea","2","2","3"
"71","american       purple gallinule","porphyrula       martinica","1","6","6"
"72","common       moorhen","gallinula       chloropus","1","4","4"
"73","sunbittern","eurypyga       helias","3","2","5"
"74","northern       jacana","jacana       spinosa","9","40","61"
"75","black-necked       stilt","himantopus       mexicanus","3","156","156"
"76","double-striped       thick-knee","burhinus       bistriatus","1","2","2"
"77","southern       lapwing","vanellus       chilensis","1","2","2"
"78","grey       plover","pluvialis       squatarola","2","100","105"
"79","semi-palmated       plover","charadrius       semipalmatus","2","6","9"
"80","killdeer","charadrius       vociferus","1","1","1"
"81","collared       plover","charadrius       collaris","1","4","4"
"82","wilson�s       snipe","gallinago       delicate","1","3","3"
"83","short-billed       dowitcher","limodromnus       griseus","1","80","80"
"84","marbled       godwit","limosa       fedoa","1","6","6"
"85","whimbrel","numenius       phaeopus","2","50","56"
"86","greater       yellowlegs","tringa       melanoleuca","1","1","1"
"87","lesser       yellowlegs","tringa       flavipes","1","5","5"
"88","solitary       sandpiper","tringa       solitaria","2","2","3"
"89","spotted       sandpiper","actitis       macularia","5","10","20"
"90","willet","catoptrophorus       semipalmatus","2","100","107"
"91","ruddy       turnstone","arenaria       interpres","3","35","48"
"92","semi-palmated       sandpiper","calidris       pusilla","2","50","51"
"93","western       sandpiper","calidris       mauri","2","40","50"
"94","least       sandpiper","calidris       minutilla","2","30","45"
"95","laughing       gull","larus       atricilla","2","45","65"
"96","gull-billed       tern","sterna       nilotica","1","10","10"
"97","elegant       tern","sterna       elegans","1","1","1"
"98","sandwich       tern","sterna       sandvicensis","2","5","6"
"99","royal       tern","sterna       maxima","1","300","300"
"100","black       skimmer","rynchops       niger","1","40","40"
"101","feral       pigeon","columba       livia","5","n/c","n/c"
"102","scaled       pigeon","patagioenas       speciosa","1","1","1"
"103","band-tailed       pigeon","columba       fasciata","3","9","17"
"104","pale-vented       pigeon","columba       cayennensis","5","6","20"
"105","red-billed       pigeon","columba       flavirostris","2","3","6"
"106","short-billed       pigeon","columba       nigrirostris","4","4","9"
