"1"," black-bellied whistling-duck"," breckenridge park&#8211;tuleta dr. (san antonio)"
"2"," fulvous whistling-duck"," copano bay&#8211;south end lbj causeway"
"3"," snow goose"," riverside park victoria"
"4"," wood duck"," cooks slough"
"5"," gadwall"," sabinal wtp"
"6"," american wigeon"," sabinal wtp"
"7"," mallard"," breckenridge park&#8211;tuleta dr. (san antonio)"
"8"," mottled duck"," riverside park victoria"
"9"," blue-winged teal"," sabinal wtp"
"10"," cinnamon teal"," sabinal wtp (male)"
"11"," northern shoveler"," sabinal wtp"
"12"," green-winged teal"," dupont wetlands"
"13"," redhead"," sikes road catfish ponds"
"14"," greater scaup"," oso bay bridge (distant)"
"15"," lesser scaup"," sikes road catfish ponds"
"16"," bufflehead"," sikes road catfish ponds (*late; two females)"
"17"," red-breasted merganser"," sikes road catfish ponds (*late; male and female)"
"18"," ruddy duck"," sikes road catfish ponds"
"19"," northern bobwhite"," port aransas&#8211;murphy&#8217;s pasture (heard; third to last bird of day)"
"20"," wild turkey"," cooks slough"
"21"," common loon"," copano bay causeway sp (alternate plumaged)"
"22"," least grebe"," dupont wetlands"
"23"," pied-billed grebe"," sabinal wtp"
"24"," eared grebe"," hans &amp; pat suter wildlife refuge"
"25"," neotropic cormorant"," dupont wetlands"
"26"," double-crested cormorant"," nueces bay causeway (scarce this late!)"
"27"," anhinga"," cooks slough (not seen by all"
"28"," american white pelican"," dewitt county"
"29"," brown pelican"," copano bay causeway sp"
"30"," great blue heron"," cooks slough"
"31"," great egret"," dupont wetlands"
"32"," snowy egret"," dupont wetlands"
"33"," little blue heron"," rt. 316 fields"
"34"," tricolored heron"," dupont wetlands"
"35"," reddish egret"," nueces bay causeway island"
"36"," cattle egret"," uvalde&#8211;dunbar lane field"
"37"," green heron"," cooks slough"
"38"," black-crowned night-heron"," cooks slough"
"39"," yellow-crowned night-heron"," breckenridge park&#8211;tuleta dr."
"40"," white ibis"," dupont wetlands"
"41"," glossy ibis"," tx-1289 ricefield (calhoun co.)"
"42"," white-faced ibis"," tx-1289 ricefield (calhoun co.)"
"43"," roseate spoonbill"," dupont wetlands"
"44"," black vulture"," concan&#8211;cielito ridge"
"45"," turkey vulture"," concan&#8211;cielito ridge"
"46"," osprey"," rt. 35&#8211;guadalupe river"
"47"," swallow-tailed kite"," dewitt county (pick of the day by andy)"
"48"," white-tailed kite"," aransas grasslands (near probable nest site)"
"49"," mississippi kite"," dewitt county (up to 50 seen on drive)"
"50"," northern harrier"," road near bird seed factory"
"51"," cooper&#8217;s hawk"," towhee church"
"52"," harris&#8217;s hawk"," tyler rd.&#8211;mp 3.1 (on nest; atlas"
"53"," red-shouldered hawk"," cooks slough (ad)"
"54"," broad-winged hawk"," dewitt county"
"55"," swainson&#8217;s hawk"," uvalde quarry (ad)"
"56"," white-tailed hawk"," sikes road catfish ponds (ad)"
"57"," red-tailed hawk"," uvalde&#8211;dunbar lane (south)"
"58"," crested caracara"," uvalde&#8211;dunbar lane (south)"
"59"," american kestrel"," uvalde&#8211;dunbar lane field (on fence)"
"60"," merlin"," oso bay bridge (not seen by all"
"61"," peregrine falcon"," mustang island mangroves (on tower)"
"62"," black rail"," cape valero"
"63"," clapper rail"," port aransas&#8211;murphy&#8217;s pasture (singing)"
"64"," virginia rail"," port aransas birding center (second to last bird of day)"
"65"," sora"," cooks slough (flushed from pond edge)"
"66"," common moorhen"," dupont"
"67"," american coot"," sabinal wtp"
"68"," black-bellied plover"," tx-1289 ricefield (calhoun co.)"
"69"," american golden-plover"," tx-1289 ricefield (calhoun co.)"
"70"," wilson&#8217;s plover"," coast guard base"
"71"," semipalmated plover"," tx-1289 ricefield (calhoun co.)"
"72"," piping plover"," coast guard base"
"73"," killdeer"," dupont wetlands"
"74"," american oystercatcher"," indian point causeway (on nest)"
"75"," black-necked stilt"," dupont wetlands"
"76"," american avocet"," dupont wetlands"
"77"," spotted sandpiper"," cooks slough"
"78"," solitary sandpiper"," tx-1289 ricefield (calhoun co.) (flying over car)"
"79"," greater yellowlegs"," copano bay causeway sp"
"80"," willet"," copano bay&#8211;south end lbj causeway"
"81"," lesser yellowlegs"," dupont wetlands"
"82"," upland sandpiper"," uvalde&#8211;dunbar lane ranch (private)"
"83"," whimbrel"," coast guard causeway"
"84"," long-billed curlew"," indian point causeway"
"85"," marbled godwit"," hans &amp; pat suter wildlife refuge"
"86"," ruddy turnstone"," nueces bay causeway island"
"87"," sanderling"," nueces bay causeway island"
"88"," semipalmated sandpiper"," dupont wetlands"
"89"," western sandpiper"," dupont wetlands"
"90"," least sandpiper"," dupont wetlands"
"91"," white-rumped sandpiper"," dupont wetlands"
"92"," baird&#8217;s sandpiper"," dupont wetlands"
"93"," pectoral sandpiper"," dupont wetlands"
"94"," dunlin"," dupont wetlands"
"95"," stilt sandpiper"," dupont wetlands"
"96"," buff-breasted sandpiper"," tx-1289 ricefield (calhoun co.)"
"97"," long-billed dowitcher"," dupont wetlands"
"98"," wilson&#8217;s phalarope"," dupont wetlands"
"99"," laughing gull"," near bloomington landfill"
"100"," franklin&#8217;s gull"," near bloomington landfill"
"101"," ring-billed gull"," hans &amp; pat suter wildlife refuge"
"102"," herring gull"," oso bay bridge (sy)"
"103"," least tern"," indian point causeway"
"104"," gull-billed tern"," tx-1289 ricefield (calhoun co.)"
"105"," caspian tern"," nueces bay causeway island"
"106"," black tern"," hans &amp; pat suter wildlife refuge"
"107"," common tern"," mustang island&#8211;crossover 1a beach (ad)"
"108"," forster&#8217;s tern"," copano bay causeway sp"
"109"," royal tern"," copano bay&#8211;south end lbj causeway"
"110"," sandwich tern"," coast guard causeway"
"111"," black skimmer"," tx-1289 ricefield (calhoun co.)"
"112"," rock pigeon"," uvalde (town)"
