"Language","Language","Title"
"Mandarin Chinese","Mandarin Chinese","???? Sh??sh?n? G?ng?j??"
"Dutch","Dutch","Weerslag"
"Finnish","Finnish","Tuplater?"
"European French","European French","Damocl?s"
"German","German","Risikotackle"
"Greek","Greek","????? ????"
"Hindi","Hindi","????? ??? Dohri Dhaar"
"Italian","Italian","Sdoppiatore"
"Korean","Korean","?????? Ipansapan Tackle"
"Polish","Polish","Podw?jne uderzenie kantem"
"Portuguese","Brazil","L?mina Dupla(Advanced Generation Series)Corte Duplo (Diamond and Pearl Series)"
"Portuguese","Portugal","Palmada Dupla (Pok?mon Chronicles) L?mina Dupla (Diamond and Pearl Series)"
"Serbian","Serbian","Dvostruka Ivica"
"Spanish","Latin America","Doble filo(Season 1-10) Doble poder(Season 11-present)"
"Spanish","Spain","Doble Filo"
"NULL","NULL","NULL"
