"Name","5-Year Total Return %","Sales ($bil)","Net Income ($mil)","Industry"
"Comcast","4.2","29.9","2375","Media"
"DirecTV Group","15.9","16.6","1459","Media"
"Walt Disney","11.8","35.5","4687","Media"
"RR Donnelley & Sons","14.3","11.0","243","Media"
"John Wiley & Sons","13.9","1.4","118","Media"
"McGraw-Hill Cos","11.3","6.8","1078","Media"
"Meredith","6.1","1.6","165","Media"
"News Corp","13.3","29.8","3315","Media"
"Omnicom Group","8.6","12.3","939","Media"
"EW Scripps","3.2","2.5","388","Media"
"Viacom","-2.7","12.8","1759","Media"
"WPP Group","11.5","11.0","645","Media"
